"X.1","X","date_time_samp","site","plot_num","treatment","exclosure","paired","longitude","latitude","man_long","man_lat","barcode","siteX","treatmentX","exclosureX","pairedX","plot","cluster","clusterBC","plotBC","factorial","Date","hour","minute","time","season","notes_cluster","number","year","CT1","CT2","CT3","CT4","Ct_detects","positive","cluster_pair","Library_Name","Abditibacteriota","Acidobacteriota","Actinobacteriota","Armatimonadota","Bacteroidota","Bdellovibrionota","Campilobacterota","Chloroflexi","Crenarchaeota","Cyanobacteria","Deferribacterota","Deinococcota","Dependentiae","Desulfobacterota","Elusimicrobiota","Entotheonellaeota","Euryarchaeota","Fibrobacterota","Firmicutes","GAL15","Gemmatimonadota","Hydrogenedentes","MBNT15","Methylomirabilota","Myxococcota","Nanoarchaeota","NB1-j","Nitrospirota","Patescibacteria","Planctomycetota","Proteobacteria","RCP2-54","SAR324_clade(Marine_group_B)","Sumerlaeota","Thermoplasmatota","TX1A-33","Unknown","Verrucomicrobiota","WPS-2","WS2"
94,94,"4/22/21 8:53",1,5,1,0,1,-119.6807534,35.08219474,NA,NA,"AS05PE11","S","P","E",1,"S05","S05PE1","S05PE1","S05","PE","4/22/21 8:53",8,53,8.883333333,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S501","JTMR008S",0,1021,16900,85,1197,20,0,2404,12,560,0,0,0,0,0,0,0,10,271,0,1139,0,0,0,454,0,0,50,17,31,7824,0,0,42,0,0,13,252,0,4
95,95,"4/22/21 9:49",1,2,1,1,1,-119.6752519,35.08399229,NA,NA,"AS02SN11","S","P","N",1,"S02","S02PN1","S02SN1","S02","PN","4/22/21 9:49",9,49,9.816666667,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S211","JTMR009BA",5,998,29133,60,2730,79,0,3073,13,727,0,6,10,0,3,0,0,15,955,0,2125,0,3,11,712,0,0,39,51,163,9987,0,2,61,0,0,40,589,6,2
96,96,"4/22/21 9:55",1,2,0,1,1,-119.6753931,35.08397755,NA,NA,"AS02PN11","S","S","N",1,"S02","S02SN1","S02PN1","S02","SN","4/22/21 9:55",9,55,9.916666667,"Spring",NA,NA,NA,NA,34.19,36.24,36.65,3,1,"S211","JTMR009DS",4,2710,34151,86,2039,102,0,6616,98,114,0,9,0,0,0,0,0,49,2278,0,2888,0,0,0,1079,3,5,97,105,217,12610,0,0,7,111,0,12,372,5,11
101,101,"4/19/21 16:55",1,7,0,0,1,-119.6549475,35.08328973,NA,NA,"AS07SN12","S","S","E",1,"S07","S07SE1","S07SN1","S07","SE","4/19/21 16:55",16,55,16.91666667,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S701","JTMR009CN",5,2094,19830,109,767,32,0,2772,0,507,0,0,0,0,7,13,0,5,139,0,1375,0,0,14,415,0,0,37,25,106,5575,0,0,7,30,0,95,546,0,0
102,102,"4/19/21 17:05",1,7,1,0,1,-119.655221,35.06577047,NA,NA,"AS07PE12","S","P","E",1,"S07","S07PE1","S07PE1","S07","PE","4/19/21 17:05",17,5,17.08333333,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S701","JTMR008EV",0,375,11866,91,2315,25,0,967,0,513,0,13,0,0,0,0,0,0,135,0,542,0,0,0,285,0,0,6,6,19,6325,0,0,0,0,0,0,328,0,0
103,103,"4/19/21 11:10",1,8,1,0,1,-119.6802852,35.05927597,NA,NA,"AS08PE12","S","P","E",1,"S08","S08PE1","S08PE1","S08","PE","4/19/21 11:10",11,10,11.16666667,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S801","JTMR008C",0,964,12205,50,1258,46,0,2614,10,110,0,0,0,0,0,0,0,9,207,0,920,0,0,15,335,0,0,31,27,144,5615,0,0,0,0,0,0,112,0,0
104,104,"4/19/21 11:39",1,8,0,0,1,-119.6800302,35.0587963,NA,NA,"AS08SE12","S","S","E",1,"S08","S08SE1","S08SE1","S08","SE","4/19/21 11:39",11,39,11.65,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S801","JTMR008CF",0,2244,17630,166,1021,25,0,3897,53,14,0,0,0,0,0,38,0,12,318,0,1414,4,0,11,705,0,0,29,23,145,7345,0,0,3,19,0,49,476,0,0
106,106,"4/19/21 14:38",1,10,0,0,1,-119.480762,34.98586131,NA,NA,"AS10SE12","S","S","E",1,"S10","S10SE1","S10SE1","S10","SE","4/19/21 14:38",14,38,14.63333333,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S1001","JTMR009EA",9,1065,18901,183,1897,54,0,2358,27,899,0,0,0,0,0,0,0,0,52,0,1827,0,0,9,566,0,0,7,0,95,6416,0,0,7,11,0,34,220,2,0
109,109,"4/19/21 14:08",1,10,1,1,1,-119.6921527,35.06498,NA,NA,"AS10PN12","S","P","N",1,"S10","S10PN1","S10PN1","S10","PN","4/19/21 14:08",14,8,14.13333333,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S1011","JTMR008BW",0,1344,21347,113,2204,43,0,2900,49,37,0,10,4,0,0,0,0,0,388,0,1596,0,0,8,383,0,0,16,10,82,10201,0,0,7,0,0,20,302,0,0
110,110,"4/19/21 14:26",1,10,0,1,1,-119.6921896,35.06494627,NA,NA,"AS10SN12","S","S","N",1,"S10","S10SN1","S10SN1","S10","SN","4/19/21 14:26",14,26,14.43333333,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S1011","JTMR009EL",4,2003,22798,144,1677,31,0,4560,37,212,0,0,0,0,0,0,0,7,343,0,2360,0,0,9,250,0,0,36,19,162,6440,0,0,0,11,0,93,427,3,10
111,111,"4/19/21 12:34",1,9,1,1,1,-119.6857639,35.06167467,NA,NA,"AS09PN12","S","P","N",1,"S09","S09PN1","S09PN1","S09","PN","4/19/21 12:34",12,34,12.56666667,"Spring",NA,NA,NA,34.57,36.27,NA,NA,2,0,"S911","JTMR009CB",0,1627,23744,107,934,21,0,3150,108,773,0,0,3,0,0,0,0,13,686,0,1834,0,0,6,500,0,0,65,22,52,8682,0,0,0,0,0,0,171,0,0
112,112,"4/19/21 12:49",1,9,0,1,1,-119.6858767,35.06172396,NA,NA,"AS09SN12","S","S","N",1,"S09","S09SN1","S09SN1","S09","SN","4/19/21 12:49",12,49,12.81666667,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S911","JTMR009FD",0,1419,19452,104,1618,29,0,2061,7,15,0,0,0,0,0,0,0,0,496,0,1490,8,0,0,640,0,0,26,59,180,7074,0,0,18,0,0,13,383,2,4
113,113,"4/19/21 12:59",1,9,1,0,1,-119.6859942,35.06130704,NA,NA,"AS09PE12","S","P","E",1,"S09","S09PE1","S09PE1","S09","PE","4/19/21 12:59",12,59,12.98333333,"Spring",NA,NA,NA,32.27,33.37,33.12,33.41,4,1,"S901","JTMR009EC",9,2546,21146,105,1495,43,0,4248,37,14,0,5,0,0,0,0,0,4,985,0,2421,6,0,0,735,0,0,90,133,216,8649,0,0,7,28,0,50,569,0,6
114,114,"4/19/21 13:07",1,9,0,0,1,-119.6860301,35.06126718,NA,NA,"AS09SE12","S","S","E",1,"S09","S09SE1","S09SE1","S09","SE","4/19/21 13:07",13,7,13.11666667,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S901","JTMR009DC",5,3083,23781,79,857,19,0,4240,83,9,0,4,0,4,5,9,0,0,1683,0,2528,0,0,17,757,0,0,93,15,358,6682,2,0,10,21,0,115,426,0,0
116,116,"4/19/21 10:20",1,8,1,1,1,-119.6803251,35.05925036,NA,NA,"AS08PN12","S","P","N",1,"S08","S08PN1","S08PN1","S08","PN","4/19/21 10:20",10,20,10.33333333,"Spring",NA,NA,NA,36.56,36.02,36.99,36.33,4,1,"S811","JTMR009FA",0,597,19133,82,1956,52,0,2501,12,175,0,0,0,0,0,3,0,11,537,0,1288,0,0,0,510,0,0,37,32,100,8611,0,0,20,0,0,0,536,0,0
117,117,"4/19/21 10:42",1,8,0,1,1,-119.6803061,35.0592554,NA,NA,"AS08SN12","S","S","N",1,"S08","S08SN1","S08SN1","S08","SN","4/19/21 10:42",10,42,10.7,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S811","JTMR009BT",0,1538,23247,93,1008,39,0,4189,95,14,0,0,3,0,0,57,0,8,484,0,1679,0,33,16,486,0,0,63,39,229,8999,0,0,0,15,0,22,167,4,0
118,118,"4/19/21 14:38",1,10,1,0,1,-119.6926353,35.0647591,NA,NA,"AS10PE12","S","P","E",1,"S10","S10PE1","S10PE1","S10","PE","4/19/21 14:38",14,38,14.63333333,"Spring",NA,NA,NA,NA,39.46,NA,NA,1,0,"S1001","JTMR008N",0,1252,23560,10,753,9,0,4117,82,0,0,0,5,0,0,0,0,0,2354,0,942,0,0,0,595,0,0,72,82,167,7058,0,0,15,0,0,10,126,0,6
119,119,"4/19/21 15:52",1,7,1,1,1,-119.6555894,35.08361336,NA,NA,"AS07PN12","S","P","N",1,"S07","S07PN1","S07PN1","S07","PN","4/19/21 15:52",15,52,15.86666667,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S711","JTMR008U",10,894,19001,120,3038,130,0,1420,7,842,0,10,0,0,0,0,0,19,178,0,1655,0,0,0,839,0,0,7,57,87,8938,0,0,8,0,0,0,316,0,0
120,120,"4/19/21 16:10",1,7,0,1,1,-119.6556631,35.08355597,NA,NA,"AS07SE12","S","S","N",1,"S07","S07SN1","S07SE1","S07","SN","4/19/21 16:10",16,10,16.16666667,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S711","JTMR009F",6,2179,14747,171,812,13,0,3136,9,10,0,0,0,0,0,0,0,10,213,0,1293,0,0,7,399,0,0,34,8,437,4740,0,0,0,7,0,35,110,3,0
121,121,"4/20/21 8:54",0,1,1,1,1,-119.7464592,35.13335429,NA,NA,"AC01PN12","C","P","N",1,"C01","C01PN1","C01PN1","C01","PN","4/20/21 8:54",8,54,8.9,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C111","JTMR008CW",0,797,26534,162,5186,98,0,3445,0,8490,0,25,0,0,0,0,0,7,1838,0,2220,0,0,0,896,0,0,30,35,304,15693,0,0,54,0,0,7,421,0,0
122,122,"4/20/21 9:19",0,1,0,1,1,-119.7465261,35.13336847,NA,NA,"AC01SN12","C","S","N",1,"C01","C01SN1","C01SN1","C01","SN","4/20/21 9:19",9,19,9.316666667,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C111","JTMR009FF",0,3611,35777,102,2311,57,0,7913,23,47,0,0,4,0,0,0,0,0,522,0,3302,2,0,20,774,0,0,72,36,390,12318,0,0,6,0,0,143,961,0,14
123,123,"4/20/21 9:36",0,1,1,0,1,-119.7465626,35.13333827,NA,NA,"AC01PE12","C","P","E",1,"C01","C01PE1","C01PE1","C01","PE","4/20/21 9:36",9,36,9.6,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C101","JTMR008BF",0,1650,25659,42,1987,84,0,5887,60,111,0,27,0,0,6,0,0,41,1427,0,2670,0,0,6,571,0,0,43,76,240,11402,3,0,27,8,0,36,689,0,0
124,124,"4/20/21 11:58",0,5,1,1,1,-119.7390416,35.12009123,NA,NA,"AC05PN12","C","P","N",1,"C05","C05PN1","C05PN1","C05","PN","4/20/21 11:58",11,58,11.96666667,"Spring",NA,NA,NA,NA,NA,NA,39.31,1,0,"C511","JTMR009BG",0,703,13087,49,1242,21,0,2199,0,2360,0,0,0,0,0,0,0,6,353,0,849,0,0,0,230,0,0,32,17,94,6131,0,0,12,0,0,0,193,0,4
125,125,"4/20/21 12:07",0,5,0,1,1,-119.7390459,35.12011426,NA,NA,"AC05SN12","C","S","N",1,"C05","C05SN1","C05SN1","C05","SN","4/20/21 12:07",12,7,12.11666667,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C511","JTMR009AC",6,2651,32085,58,1491,22,0,6615,72,1405,0,4,0,0,0,0,0,4,1043,0,2851,0,0,5,617,0,0,108,60,254,10443,0,0,9,5,0,34,568,0,0
126,126,"4/20/21 12:18",0,5,1,0,1,-119.7388057,35.11962447,NA,NA,"AC05PE12","C","P","E",1,"C05","C05PE1","C05PE1","C05","PE","4/20/21 12:18",12,18,12.3,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C501","JTMR008CX",0,359,9748,14,125,0,0,1681,0,611,0,3,0,0,0,0,0,0,72,0,508,0,3,0,30,0,0,7,0,15,1887,0,0,0,0,0,0,6,0,0
127,127,"4/20/21 12:30",0,5,0,0,1,-119.7387258,35.11962593,NA,NA,"AC05SE12","C","S","E",1,"C05","C05SE1","C05SE1","C05","SE","4/20/21 12:30",12,30,12.5,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C501","JTMR009DX",11,2829,29165,69,2518,34,0,4451,58,77,0,0,0,0,2,0,0,4,374,0,1950,8,0,8,753,0,0,73,104,260,12237,0,0,0,5,0,67,430,0,0
129,129,"4/20/21 15:06",0,8,1,0,1,-119.7303208,35.11330633,NA,NA,"AC08PE12","C","P","E",1,"C08","C08PE1","C08PE1","C08","PE","4/20/21 15:06",15,6,15.1,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C801","JTMR009BD",0,1489,21787,107,3635,131,0,3115,20,56,0,12,0,5,0,0,0,33,828,0,2010,0,0,0,1118,0,0,65,255,202,13455,0,0,5,3,0,15,803,0,0
130,130,"4/20/21 15:12",0,8,0,0,1,-119.7303044,35.11333615,NA,NA,"AC08SE12","C","S","E",1,"C08","C08SE1","C08SE1","C08","SE","4/20/21 15:12",15,12,15.2,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C801","JTMR008P",0,2177,16429,100,773,18,0,4614,54,6,0,0,0,0,0,33,0,0,776,0,1622,0,0,11,694,0,0,69,31,136,5613,0,0,0,27,0,135,297,0,0
131,131,"4/20/21 16:02",0,7,0,1,1,-119.7328044,35.10881524,NA,NA,"AC07SN12","C","S","N",1,"C07","C07SN1","C07SN1","C07","SN","4/20/21 16:02",16,2,16.03333333,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C711","JTMR008EL",5,1781,19437,125,1666,12,0,3732,101,338,0,7,0,0,0,0,0,9,208,0,1643,0,0,0,366,0,0,47,12,206,7655,0,0,10,6,0,17,405,0,0
132,132,"4/20/21 16:26",0,7,1,0,1,-119.7322054,35.10828516,NA,NA,"AC07PE12","C","P","E",1,"C07","C07PE1","C07PE1","C07","PE","4/20/21 16:26",16,26,16.43333333,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C701","JTMR009BW",7,1740,19782,68,1715,95,0,3188,58,105,0,3,5,0,5,0,0,15,390,0,1421,4,0,0,942,0,0,53,41,146,10841,0,0,7,0,0,4,498,0,4
134,134,"4/20/21 9:33",0,1,0,0,1,-119.7461097,35.13267475,NA,NA,"AC01SE12","C","S","E",1,"C01","C01SE1","C01SE1","C01","SE","4/20/21 9:33",9,33,9.55,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C101","JTMR009CG",0,1270,20729,81,760,28,0,6431,61,169,0,8,0,0,0,0,0,4,216,0,2158,0,0,0,404,0,0,58,30,235,6114,0,0,12,0,0,35,363,0,0
137,137,"4/20/21 13:35",0,6,0,1,1,-119.7484989,35.11545547,NA,NA,"AC06SN12","C","S","N",1,"C06","C06SN1","C06SN1","C06","SN","4/20/21 13:35",13,35,13.58333333,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C611","JTMR008EQ",0,2431,24880,46,1269,32,0,5614,119,1048,0,4,0,0,6,0,0,9,112,0,2310,0,0,10,475,0,0,44,27,265,7753,0,0,6,5,0,66,762,0,5
138,138,"4/20/21 13:40",0,6,1,1,1,-119.7481216,35.08300489,NA,NA,"AC06PN12","C","P","N",1,"C06","C06PN1","C06PN1","C06","PN","4/20/21 13:40",13,40,13.66666667,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C611","JTMR008BY",0,278,13386,87,3113,133,0,1374,17,1302,0,0,0,0,0,0,0,9,417,0,927,0,0,0,702,0,0,14,17,8,8384,0,0,0,0,0,0,572,0,0
139,139,"4/20/21 13:55",0,6,0,0,1,-119.7480654,35.11496663,NA,NA,"AC06SE12","C","S","E",1,"C06","C06SE1","C06SE1","C06","SE","4/20/21 13:55",13,55,13.91666667,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C601","JTMR008ET",0,952,23772,47,1435,18,0,4289,102,266,0,5,0,0,6,0,0,0,344,0,2916,0,0,0,120,0,0,32,9,205,6712,0,0,17,0,0,26,493,0,0
140,140,"4/20/21 14:46",0,8,1,1,1,-119.7311212,35.11667308,NA,NA,"AC08PN12","C","P","N",1,"C08","C08PN1","C08PN1","C08","PN","4/20/21 14:46",14,46,14.76666667,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C811","JTMR008BS",0,398,17454,135,3827,118,0,2159,10,2748,0,25,0,0,0,0,0,13,1391,0,967,0,0,6,798,0,0,15,20,53,10591,0,0,12,0,0,25,296,2,7
141,141,"4/21/21 8:25",1,6,1,1,1,-119.6600529,35.08097156,NA,NA,"AS06PN12","S","P","N",1,"S06","S06PN1","S06PN1","S06","PN","4/21/21 8:25",8,25,8.416666667,"Spring",NA,NA,NA,34.92,37.33,35.7,36.35,4,1,"S611","JTMR008EE",0,1643,25518,13,1299,42,0,4352,49,1233,0,3,0,7,0,0,13,18,2183,0,1476,7,0,17,512,0,0,73,56,174,6549,0,0,39,16,0,43,820,4,7
142,142,"4/21/21 8:36",1,6,0,1,1,-119.6600839,35.08096151,NA,NA,"AS06SN12","S","S","N",1,"S06","S06SN1","S06SN1","S06","SN","4/21/21 8:36",8,36,8.6,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S611","JTMR009BU",0,4111,24716,96,1131,38,0,4258,173,413,0,0,0,0,0,31,0,6,339,0,2232,0,0,23,776,0,0,57,35,160,10430,0,0,5,56,0,40,543,5,0
144,144,"4/21/21 8:57",1,6,1,0,1,-119.6595725,35.0814153,NA,NA,"AS06PE12","S","P","E",1,"S06","S06PE1","S06PE1","S06","PE","4/21/21 8:57",8,57,8.95,"Spring",NA,NA,NA,33.21,34.85,34.23,35.7,4,1,"S601","JTMR008CY",0,2806,26031,128,1328,161,0,4450,37,732,0,2,7,17,0,3,0,19,778,0,2391,0,0,0,1180,0,2,96,57,400,11124,0,0,33,42,0,42,368,0,9
145,145,"4/21/21 9:06",1,6,0,0,1,-119.659586,35.08134149,NA,NA,"AS06SE12","S","S","E",1,"S06","S06SE1","S06SE1","S06","SE","4/21/21 9:06",9,6,9.1,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S601","JTMR008BL",0,2564,15495,74,508,7,0,2722,16,6,0,0,3,0,0,16,0,0,284,0,1672,0,0,29,566,0,0,42,5,85,4619,0,0,0,12,0,123,575,5,4
146,146,"4/21/21 10:04",0,2,1,1,1,-119.7284223,35.1303838,NA,NA,"AC02SN12","C","P","N",1,"C02","C02PN1","C02SN1","C02","PN","4/21/21 10:04",10,4,10.06666667,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C211","JTMR008ER",6,1507,17860,64,896,10,0,3015,67,1182,0,4,0,0,0,0,0,0,81,0,1841,0,0,0,324,0,0,30,8,91,5478,0,0,0,0,0,27,400,0,0
147,147,"4/21/21 10:21",0,2,0,1,1,-119.72299,35.13051497,NA,NA,"AC02PN12","C","S","N",1,"C02","C02SN1","C02PN1","C02","SN","4/21/21 10:21",10,21,10.35,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C211","JTMR009BC",0,508,21056,10,2348,103,0,2847,12,14,0,0,2,0,0,0,0,37,999,0,755,0,0,7,512,0,0,37,145,124,6776,0,0,132,0,0,0,812,0,2
148,148,"4/21/21 10:41",0,2,0,0,1,-119.7226716,35.13090319,NA,NA,"AC02SE12","C","S","E",1,"C02","C02SE1","C02SE1","C02","SE","4/21/21 10:41",10,41,10.68333333,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C201","JTMR008DS",8,4101,25004,56,1499,37,0,5622,115,109,0,0,0,0,3,5,0,11,371,0,2058,0,0,5,1152,0,0,33,32,342,9571,0,0,0,15,0,56,841,0,0
150,150,"4/21/21 11:54",0,4,1,0,1,-119.7249263,35.12218561,NA,NA,"AC04PE12","C","P","E",1,"C04","C04PE1","C04PE1","C04","PE","4/21/21 11:54",11,54,11.9,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C401","JTMR008AY",0,1318,19981,75,2895,57,0,2659,24,1131,0,4,0,0,0,2,0,8,311,0,1575,0,0,7,526,0,0,10,49,91,7700,0,0,14,0,0,32,441,0,0
151,151,"4/21/21 12:14",0,4,0,0,1,-119.724714,35.1218074,NA,NA,"AC04SE12","C","S","E",1,"C04","C04SE1","C04SE1","C04","SE","4/21/21 12:14",12,14,12.23333333,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C401","JTMR009Q",5,2254,19721,50,1339,6,0,4454,25,29,0,0,0,0,0,0,0,8,651,0,1686,0,0,0,640,0,0,49,40,137,6335,0,0,4,0,0,55,293,0,0
153,153,"4/21/21 13:45",0,10,1,0,1,-119.701476,35.11423216,NA,NA,"AC10PE12","C","P","E",1,"C10","C10PE1","C10PE1","C10","PE","4/21/21 13:45",13,45,13.75,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C1001","JTMR008BJ",0,2375,20829,30,357,20,0,4896,32,22,0,0,0,0,0,9,0,20,649,0,1779,0,0,31,562,0,0,72,11,107,4700,0,0,7,23,0,154,915,0,0
154,154,"4/21/21 13:54",0,10,0,0,1,-119.7014153,35.11426241,NA,NA,"AC10SE12","C","S","E",1,"C10","C10SE1","C10SE1","C10","SE","4/21/21 13:54",13,54,13.9,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C1001","JTMR008Y",5,2058,30081,147,2540,26,0,5547,67,501,0,14,0,0,0,0,0,3,688,0,2678,0,0,13,386,0,0,88,22,173,7908,0,0,7,0,0,43,408,0,3
158,158,"4/21/21 16:54",1,1,1,0,1,-119.6693035,35.08245118,NA,NA,"AS01PE12","S","P","E",1,"S01","S01PE1","S01PE1","S01","PE","4/21/21 16:54",16,54,16.9,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S101","JTMR009W",0,1269,19985,24,1296,47,0,2293,30,10,0,5,0,0,0,35,0,0,577,0,2476,0,17,81,855,0,0,154,19,35,7274,8,0,0,0,0,206,372,0,0
159,159,"4/21/21 17:06",1,1,0,0,1,-119.6692839,35.08246879,NA,NA,"AS01SE12","S","S","E",1,"S01","S01SE1","S01SE1","S01","SE","4/21/21 17:06",17,6,17.1,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S101","JTMR009L",5,2966,20230,225,1005,54,0,2792,48,15,0,0,0,0,0,0,0,2,208,0,1396,0,0,0,686,0,0,58,5,307,7124,9,0,11,24,0,57,264,0,10
160,160,"4/22/21 8:26",1,5,1,1,1,-119.6803809,35.08381932,NA,NA,"AS05PN12","S","P","N",1,"S05","S05PN1","S05PN1","S05","PN","4/22/21 8:26",8,26,8.433333333,"Spring",NA,NA,NA,35.46,35,33.86,33.51,4,1,"S511","JTMR008CK",0,884,23805,82,1991,80,0,2827,0,129,0,0,0,0,0,0,0,12,1400,0,1017,0,0,10,482,0,0,41,140,89,8737,0,0,42,0,0,48,438,0,6
161,161,"4/22/21 8:49",1,5,0,1,1,-119.6802974,35.08218187,NA,NA,"AS05SN12","S","S","N",1,"S05","S05SN1","S05SN1","S05","SN","4/22/21 8:49",8,49,8.816666667,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S511","JTMR008EK",4,3254,21238,71,805,45,0,4263,84,665,0,3,1,3,0,18,0,8,731,0,1988,0,0,27,879,0,2,89,55,61,6456,0,0,10,59,0,120,805,0,6
162,162,"4/22/21 9:05",1,5,0,0,1,-119.6807346,35.08221517,NA,NA,"AS05SE12","S","S","E",1,"S05","S05SE1","S05SE1","S05","SE","4/22/21 9:05",9,5,9.083333333,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S501","JTMR009G",10,2582,19045,201,1018,12,0,3833,31,462,0,0,0,0,0,3,0,0,261,0,1538,0,0,22,575,0,0,44,42,534,6454,0,0,8,13,0,25,205,4,4
164,164,"4/22/21 9:56",1,2,1,0,1,-119.6743708,35.08460265,NA,NA,"AS02PE12","S","P","E",1,"S02","S02PE1","S02PE1","S02","PE","4/22/21 9:56",9,56,9.933333333,"Spring",NA,NA,NA,NA,NA,NA,35.12,1,0,"S201","JTMR009CV",0,236,15879,19,1892,37,0,1632,0,745,0,0,0,0,0,0,0,0,1022,0,718,0,0,0,156,0,0,8,68,81,6215,0,0,21,0,0,13,95,0,0
165,165,"4/22/21 10:14",1,2,0,0,1,-119.6748002,35.08415087,NA,NA,"AS02SE12","S","S","E",1,"S02","S02SE1","S02SE1","S02","SE","4/22/21 10:14",10,14,10.23333333,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S201","JTMR009BV",11,2371,23266,95,1389,29,0,4389,126,414,0,0,4,0,5,8,0,22,620,0,1819,0,0,22,852,0,0,84,32,156,9602,2,0,7,33,0,88,346,0,10
177,177,"4/20/21 13:47",0,6,1,0,1,-119.7475458,35.11453835,NA,NA,"AC06PE12","C","P","E",1,"C06","C06PE1","C06PE1","C06","PE","4/20/21 13:47",13,47,13.78333333,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C601","JTMR008O",7,259,19278,99,2932,31,0,1682,11,436,0,14,0,0,0,0,0,0,510,0,1767,0,0,0,96,0,0,7,59,48,7624,0,0,11,0,0,0,258,0,0
178,178,"4/20/21 14:51",0,8,0,1,1,-119.729769,35.11306696,NA,NA,"AC08SN12","C","S","N",1,"C08","C08SN1","C08SN1","C08","SN","4/20/21 14:51",14,51,14.85,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C811","JTMR008DH",4,2421,20986,65,2208,3,0,4807,33,728,0,0,0,0,0,6,0,4,638,0,2055,0,0,21,463,0,0,58,38,147,6271,0,0,20,12,0,37,346,0,0
179,179,"4/20/21 15:55",0,7,1,1,1,-119.7328116,35.10880071,NA,NA,"AC07PN12","C","P","N",1,"C07","C07PN1","C07PN1","C07","PN","4/20/21 15:55",15,55,15.91666667,"Spring",NA,NA,NA,35.08,38.23,34.99,36.78,4,1,"C711","JTMR008M",0,519,12289,41,2473,16,0,1199,4,2002,0,0,0,0,0,0,0,0,658,0,783,0,0,0,311,0,0,4,0,78,7332,0,0,4,0,0,0,190,3,0
181,181,"4/20/21 16:36",0,7,0,0,1,-119.7322485,35.10831569,NA,NA,"AC07SE12","C","S","E",1,"C07","C07SE1","C07SE1","C07","SE","4/20/21 16:36",16,36,16.6,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C701","JTMR009C",0,919,8128,18,110,0,0,1658,8,30,0,0,0,0,0,0,0,7,113,0,393,0,0,0,178,0,0,21,19,87,2239,0,0,0,0,0,0,36,0,0
183,183,"4/21/21 10:26",0,2,1,0,1,-119.7226224,35.13081797,NA,NA,"AC02PE12","C","P","E",1,"C02","C02PE1","C02PE1","C02","PE","4/21/21 10:26",10,26,10.43333333,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C201","JTMR008CU",0,1081,23536,19,3028,64,0,3620,8,7,0,8,0,0,4,0,0,34,909,0,1943,0,0,0,1100,0,0,35,150,197,9322,0,0,9,0,0,25,503,0,0
