"X.1","X","date_time_samp","site","plot_num","treatment","exclosure","paired","longitude","latitude","man_long","man_lat","barcode","siteX","treatmentX","exclosureX","pairedX","plot","cluster","clusterBC","plotBC","factorial","Date","hour","minute","time","season","notes_cluster","number","year","CT1","CT2","CT3","CT4","Ct_detects","positive","cluster_pair","Library_Name","0319-6G20","0319-7L14","053A03-B-DI-P58","11-24","211ds20","Abditibacteriales","Acetobacterales","Acholeplasmatales","Acidaminococcales","Acidiferrobacterales","Acidimicrobiales","Acidobacteriae","Acidobacteriales","Actinomarinales","AD3","AKAU4049","Alicyclobacillales","Alphaproteobacteria_Incertae_Sedis","Anaerolineales","Ardenticatenales","Armatimonadales","Azospirillales","B10-SB3A","B12-WMSP1","Babeliales","Bacillales","bacteriap25","Bacteriovoracales","Bacteroidales","Bacteroidetes_VC2.1_Bac22","BD2-11_terrestrial_group","Bdellovibrionales","Berkelbacteria","Blastocatellales","Blfdi19","Bradymonadales","Brevibacillales","Bryobacterales","Burkholderiales","C0119","Caedibacterales","Caldilineales","Campylobacterales","Candidatus_Jorgensenbacteria","Candidatus_Kaiserbacteria","Candidatus_Moranbacteria","Candidatus_Nomurabacteria","Candidatus_Pacebacteria","Candidatus_Peribacteria","Candidatus_Woesebacteria","Candidatus_Yanofskybacteria","Caulobacterales","CCD24","Cellvibrionales","Chitinophagales","Chlamydiales","Chloroflexales","Chloroplast","Christensenellales","Chthoniobacterales","Chthonomonadales","Clostridia","Clostridia_UCG-014","Clostridia_vadinBB60_group","Clostridiales","Competibacterales","Coriobacteriales","Corynebacteriales","Coxiellales","Cyanobacteriales","Cytophagales","Deferribacterales","Defluviicoccales","Deinococcales","Desulfitibacterales","Desulfovibrionales","Diplorickettsiales","Dojkabacteria","Dongiales","DS-100","EC3","Elev-16S-573","Elsterales","Enterobacterales","Entomoplasmatales","Entotheonellales","EPR3968-O8a-Bc78","Erysipelotrichales","Eubacteriales","Euzebyales","Ferrovibrionales","FFCH16767","Fibrobacterales","Fimbriimonadales","Flavobacteriales","Frankiales","Gaiellales","GAL15","Gammaproteobacteria_Incertae_Sedis","Gastranaerophilales","Gemmatales","Gemmatimonadales","Geobacterales","Gitt-GS-136","Glycomycetales","GWA2-38-13b","Haliangiales","Holosporales","Hydrogenedentiales","IMCC26256","Isosphaerales","Izemoplasmatales","JG30-KF-CM66","JTB23","Kallotenuales","Kapabacteriales","Kazania","KD4-96","KI89A_clade","Kiloniellales","Kineosporiales","Ktedonobacterales","Lachnospirales","Lactobacillales","Legionellales","Leptolyngbyales","Limnochordales","Lineage_IIa","Lineage_IIb","Lineage_IIc","Lineage_IV","Longimicrobiales","Marine_Group_II","MB-A2-108","MBNT15","Methanobacteriales","Methylococcales","Micavibrionales","Micrococcales","Microgenomatia","Micromonosporales","Micropepsales","Microtrichales","mle1-27","Monoglobales","MSB-4B10","MVP-88","Mycoplasmatales","Myxococcales","N9D0","Nannocystales","NB1-j","Nitriliruptorales","Nitrosococcales","Nitrososphaerales","Nitrospirales","Obscuribacterales","Oceanospirillales","OLB14","Oligoflexales","OM190","Opitutales","Oscillospirales","Oxyphotobacteria_Incertae_Sedis","P2-11E","Paenibacillales","Paracaedibacterales","Parcubacteria","PB19","Pedosphaerales","Peptococcales","Peptostreptococcales-Tissierellales","Phormidesmiales","Phycisphaerales","Pirellulales","Pla4_lineage","Planctomycetales","PLTA13","Polyangiales","Propionibacteriales","Pseudomonadales","Pseudonocardiales","Puniceispirillales","Pyrinomonadales","R7C24","RBG-13-54-9","RCP2-54","Reyranellales","RF39","Rhizobiales","Rhodobacterales","Rhodospirillales","Rhodothermales","Rickettsiales","Rokubacteriales","Rubrobacterales","S0134_terrestrial_group","S085","Saccharimonadales","Salinisphaerales","SAR202_clade","SAR324_clade(Marine_group_B)","SBR1031","Sericytochromatia","SHA-26","Silvanigrellales","SJA-28","Sneathiellales","Solibacterales","Solirubrobacterales","Sphingobacteriales","Sphingomonadales","Staphylococcales","Steroidobacterales","Streptomycetales","Streptosporangiales","Subgroup_17","Subgroup_2","Subgroup_22","Subgroup_25","Subgroup_5","Subgroup_7","Sumerlaeales","Symbiobacteriales","Tepidisphaerales","Thalassobaculales","Thermoactinomycetales","Thermoanaerobaculales","Thermobaculales","Thermomicrobiales","Tistrellales","TK10","TX1A-33","UA11","uncultured","Unknown","vadinHA49","Vampirovibrionales","Veillonellales-Selenomonadales","Verrucomicrobiales","VHS-B3-70","Vicinamibacterales","Woesearchaeales","WPS-2","WS2","WWE3","Xanthomonadales","Zavarziniales"
95,95,"4/22/21 9:49",1,2,1,1,1,-119.6752519,35.08399229,NA,NA,"AS02SN11","S","P","N",1,"S02","S02PN1","S02SN1","S02","PN","4/22/21 9:49",9,49,9.816666667,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S211","JTMR009BA",0,361,0,0,0,5,671,0,0,0,0,0,0,0,0,8,7,0,7,3,56,507,0,0,10,772,40,16,6,0,8,63,0,60,6,0,0,171,1604,23,0,20,0,0,0,0,0,0,0,0,0,459,0,0,321,0,64,32,0,278,0,0,0,0,0,0,0,360,0,663,1797,0,0,6,0,0,0,0,16,0,0,0,65,0,0,0,0,0,0,77,5,6,15,4,18,5786,505,0,18,0,14,1142,0,416,327,0,71,0,0,77,37,0,48,0,286,3,0,367,0,0,73,0,3,0,0,0,0,0,3,0,0,800,0,181,3,0,0,0,5432,0,969,0,426,10,0,0,0,0,396,0,44,0,0,17,13,39,4,26,2,0,0,36,12,5,0,150,0,0,0,242,0,11,0,3,32,0,7,0,139,4780,14,1623,13,97,0,0,0,41,0,3824,874,7,4,0,11,671,137,21,51,5,0,2,0,23,0,0,0,0,0,2377,581,1204,0,35,3862,889,30,0,0,0,0,99,61,0,70,5,0,39,0,1681,142,113,0,0,195,285,0,0,0,33,0,502,0,6,2,0,404,0
96,96,"4/22/21 9:55",1,2,0,1,1,-119.6753931,35.08397755,NA,NA,"AS02PN11","S","S","N",1,"S02","S02SN1","S02PN1","S02","SN","4/22/21 9:55",9,55,9.916666667,"Spring",NA,NA,NA,NA,34.19,36.24,36.65,3,1,"S211","JTMR009DS",39,197,0,0,0,4,1028,0,0,0,0,0,0,0,0,0,63,0,13,46,67,998,0,0,0,1972,56,0,0,0,17,61,0,189,29,0,0,271,1687,132,0,63,0,0,0,0,0,0,7,0,0,335,7,0,442,0,154,55,0,207,0,0,0,0,0,0,0,563,0,36,1382,0,0,9,0,0,4,0,10,3,0,0,140,0,2,0,0,0,0,61,0,3,49,12,11,11340,230,0,72,0,17,2144,0,459,40,0,250,0,0,195,103,0,101,0,640,32,0,706,0,0,164,0,0,0,0,0,0,0,0,0,0,548,83,154,0,0,0,0,3814,0,2300,3,682,10,0,0,0,0,298,0,41,5,0,9,98,97,2,23,8,2,0,5,0,8,2,228,0,0,0,139,0,0,0,2,5,0,0,0,392,3366,6,3200,38,491,2,0,0,27,0,5751,485,0,11,15,0,1293,130,56,93,0,0,0,23,13,0,0,0,4,3,4180,161,1485,0,66,1001,781,34,0,0,0,0,607,7,0,90,0,8,115,0,3867,290,288,0,0,306,509,0,0,0,21,0,997,3,5,11,0,64,0
101,101,"4/19/21 16:55",1,7,0,0,1,-119.6549475,35.08328973,NA,NA,"AS07SN12","S","S","E",1,"S07","S07SE1","S07SN1","S07","SE","4/19/21 16:55",16,55,16.91666667,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S701","JTMR009CN",18,58,0,86,0,5,1160,0,0,0,9,0,0,0,0,6,0,0,0,0,92,188,0,0,0,113,128,0,0,0,0,14,0,44,7,0,0,230,424,119,0,32,0,0,0,0,0,0,0,0,0,100,0,0,475,0,168,271,0,440,3,0,0,0,0,0,0,177,0,236,258,0,0,0,0,0,2,0,0,0,0,0,412,0,0,13,0,0,0,0,0,0,5,12,0,9617,417,0,13,0,0,1223,0,18,0,0,47,0,0,132,87,0,16,0,374,5,0,394,0,0,517,0,0,0,2,0,0,7,0,0,0,111,26,163,0,0,0,0,559,0,1478,10,249,0,0,0,0,0,146,0,0,0,5,65,0,37,0,0,0,0,0,31,0,0,0,26,0,0,0,61,0,0,0,0,8,0,5,0,87,645,0,1430,14,1197,0,3,0,19,0,2086,86,0,0,32,14,939,35,0,25,0,0,0,6,0,0,0,0,0,15,2285,29,708,0,28,357,471,6,0,0,0,0,44,7,0,6,0,0,61,0,1293,167,263,0,0,129,437,0,0,0,14,0,411,0,0,0,0,2,0
102,102,"4/19/21 17:05",1,7,1,0,1,-119.655221,35.06577047,NA,NA,"AS07PE12","S","P","E",1,"S07","S07PE1","S07PE1","S07","PE","4/19/21 17:05",17,5,17.08333333,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S701","JTMR008EV",0,14,0,0,0,0,541,0,0,0,0,0,4,0,0,0,0,0,0,0,75,219,0,0,0,121,31,22,0,0,0,3,0,67,19,0,0,106,2428,0,0,19,0,0,0,0,0,0,0,0,0,222,0,55,534,0,36,215,0,270,0,0,0,0,0,0,0,167,0,298,1287,0,0,13,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,16,208,5248,10,0,0,0,0,475,0,11,0,0,28,0,0,0,19,0,8,0,191,0,0,75,0,0,246,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,2322,0,1002,0,100,1,0,0,0,0,65,0,21,0,0,10,0,6,0,0,0,0,0,15,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,120,888,49,513,5,85,0,0,0,7,0,1691,295,0,0,2,0,301,0,0,6,0,0,0,12,0,0,0,0,0,0,658,286,617,0,0,99,164,0,0,0,0,0,13,0,0,0,0,0,3,0,580,54,20,0,0,82,94,0,0,0,43,0,97,0,0,0,0,66,0
103,103,"4/19/21 11:10",1,8,1,0,1,-119.6802852,35.05927597,NA,NA,"AS08PE12","S","P","E",1,"S08","S08PE1","S08PE1","S08","PE","4/19/21 11:10",11,10,11.16666667,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S801","JTMR008C",0,51,0,8,0,0,478,0,0,0,0,0,0,0,0,0,0,0,0,6,41,391,0,0,0,159,129,11,0,0,0,32,0,44,0,0,0,104,826,18,0,19,0,0,0,0,0,0,0,0,0,161,7,20,272,0,39,106,0,93,0,0,0,0,0,0,0,417,0,0,863,0,0,0,0,0,0,0,0,0,0,0,130,4,0,0,0,0,0,0,0,0,9,3,40,4841,380,0,19,0,0,702,0,136,10,0,24,0,0,37,91,0,41,0,97,0,0,320,0,0,73,0,0,15,0,0,0,0,0,0,0,187,0,148,0,0,0,0,858,0,656,0,238,0,0,0,0,0,91,0,10,0,0,15,10,31,0,12,0,3,0,0,0,0,7,23,0,0,0,13,0,0,0,3,0,0,0,0,81,733,16,938,17,305,0,0,0,25,0,2357,91,0,0,0,15,1014,18,20,27,0,6,0,7,4,0,0,0,0,0,1316,83,667,0,27,219,115,18,0,0,0,0,58,0,0,50,0,10,137,0,1743,265,142,0,0,76,147,0,0,0,6,0,290,0,0,0,0,57,0
104,104,"4/19/21 11:39",1,8,0,0,1,-119.6800302,35.0587963,NA,NA,"AS08SE12","S","S","E",1,"S08","S08SE1","S08SE1","S08","SE","4/19/21 11:39",11,39,11.65,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S801","JTMR008CF",25,103,0,0,0,0,752,0,0,0,0,0,0,0,0,0,0,0,19,10,150,395,0,0,0,186,155,0,0,0,0,0,0,68,0,0,0,238,472,42,0,61,0,0,0,0,0,0,0,0,0,163,0,0,431,0,65,5,0,322,0,0,0,0,0,0,0,267,0,0,545,0,4,0,0,0,0,0,14,0,0,0,308,0,0,38,0,111,0,0,0,0,12,16,7,7614,319,0,47,0,26,957,0,151,0,0,89,0,4,100,42,0,72,0,1104,0,0,392,0,0,86,0,0,0,0,0,0,0,0,0,0,397,19,137,0,0,0,0,626,0,1556,0,325,6,0,0,0,0,268,0,0,0,0,8,53,29,0,9,0,0,0,9,0,0,0,18,0,0,0,108,0,0,0,0,28,0,10,0,187,961,0,1273,26,1051,0,0,0,43,0,3461,47,0,6,0,11,1351,50,24,21,0,4,0,10,9,0,0,0,0,14,2028,32,1087,0,58,302,303,19,0,3,0,0,169,3,0,39,5,0,46,0,1749,418,129,0,0,83,344,0,0,0,37,0,636,0,0,0,2,7,0
106,106,"4/19/21 14:38",1,10,0,0,1,-119.480762,34.98586131,NA,NA,"AS10SE12","S","S","E",1,"S10","S10SE1","S10SE1","S10","SE","4/19/21 14:38",14,38,14.63333333,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S1001","JTMR009EA",0,61,0,0,0,9,1320,0,0,0,0,0,0,0,0,0,0,0,0,0,168,270,0,0,0,44,61,0,0,0,0,54,0,55,0,0,0,217,449,161,0,0,0,0,0,0,0,0,0,0,0,136,0,0,1173,0,97,8,0,186,6,0,0,0,0,0,0,51,0,891,694,0,0,0,0,0,0,0,0,0,0,0,137,0,0,0,0,0,0,0,0,0,0,7,5,10978,199,0,11,0,0,1565,0,15,0,0,8,0,0,73,71,0,51,0,579,6,0,244,0,0,662,0,0,0,0,0,0,0,0,0,0,252,11,41,0,0,0,0,1006,0,793,0,152,0,0,0,0,0,353,0,14,0,0,0,27,7,0,0,0,0,0,21,0,0,0,8,0,0,0,9,0,0,0,0,0,0,0,0,110,858,0,943,9,393,0,0,0,14,0,2733,469,0,0,0,9,1184,10,7,0,0,0,0,0,0,0,0,0,0,14,1296,19,677,0,0,200,209,0,0,0,0,0,202,7,0,24,0,0,8,0,977,146,147,0,0,76,281,0,0,0,4,20,171,0,2,0,0,4,0
109,109,"4/19/21 14:08",1,10,1,1,1,-119.6921527,35.06498,NA,NA,"AS10PN12","S","P","N",1,"S10","S10PN1","S10PN1","S10","PN","4/19/21 14:08",14,8,14.13333333,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S1011","JTMR008BW",0,52,0,17,0,0,1595,0,0,0,0,0,0,0,0,0,0,0,2,0,94,478,0,0,4,326,70,17,0,0,0,19,0,195,0,0,0,258,1531,104,0,12,0,0,0,0,0,0,0,0,0,282,0,8,704,0,136,2,0,218,3,0,0,0,0,0,0,193,0,35,1321,0,0,10,0,0,0,0,0,5,0,0,217,0,0,0,0,0,0,22,0,0,0,10,142,9488,182,0,23,0,10,1384,0,45,0,0,65,0,0,32,46,0,21,0,430,0,0,453,0,0,392,2,0,0,0,0,0,0,0,0,0,212,0,41,0,0,0,0,1930,0,1359,0,259,0,0,0,0,0,116,0,11,0,0,11,49,16,0,23,0,7,0,35,0,0,0,55,0,0,0,41,0,0,0,0,0,0,0,0,121,1293,18,1079,0,536,0,0,0,16,0,3799,458,0,0,0,8,1837,0,0,10,14,0,0,14,0,0,0,0,0,0,2005,37,1325,0,9,760,192,0,0,0,0,0,29,7,0,26,0,7,87,0,1545,252,116,0,0,81,235,0,0,0,8,0,217,0,0,0,0,103,0
110,110,"4/19/21 14:26",1,10,0,1,1,-119.6921896,35.06494627,NA,NA,"AS10SN12","S","S","N",1,"S10","S10SN1","S10SN1","S10","SN","4/19/21 14:26",14,26,14.43333333,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S1011","JTMR009EL",12,97,0,30,0,4,1081,0,0,0,0,0,0,0,0,0,0,0,5,0,110,171,0,0,0,159,68,0,0,0,0,19,0,44,0,0,0,219,725,329,0,41,0,0,0,0,0,0,0,0,0,120,0,0,970,0,107,26,0,286,5,0,0,0,0,0,0,191,0,186,685,0,5,0,0,0,2,0,7,0,0,0,224,0,5,0,0,0,0,16,0,0,7,21,0,9618,411,0,8,0,15,2197,0,25,0,0,42,0,0,201,140,0,35,0,708,10,0,743,0,0,477,0,0,0,4,0,0,0,0,0,0,129,11,94,0,0,0,0,1109,0,1301,14,226,0,0,10,0,0,30,0,0,0,4,26,37,36,0,0,0,0,0,37,0,0,0,179,0,0,0,82,0,0,0,0,7,0,0,0,100,2448,0,857,34,1017,0,0,0,18,0,2470,153,9,0,0,9,1868,34,23,19,0,0,0,10,0,0,0,0,0,0,2790,10,1065,0,0,276,447,4,0,0,0,0,287,0,0,0,0,0,13,0,2061,185,365,0,0,229,472,0,0,0,22,0,385,0,3,10,0,0,0
111,111,"4/19/21 12:34",1,9,1,1,1,-119.6857639,35.06167467,NA,NA,"AS09PN12","S","P","N",1,"S09","S09PN1","S09PN1","S09","PN","4/19/21 12:34",12,34,12.56666667,"Spring",NA,NA,NA,34.57,36.27,NA,NA,2,0,"S911","JTMR009CB",21,69,0,0,0,0,1010,0,0,7,0,0,15,0,0,0,12,0,0,0,75,663,0,0,3,561,139,0,0,0,0,0,2,63,0,0,0,406,975,31,0,18,0,0,0,0,0,0,0,0,0,205,0,5,360,0,147,773,0,151,6,0,0,0,0,0,0,528,0,0,475,0,0,0,0,0,0,0,0,0,0,0,429,0,0,0,0,2,0,0,0,0,13,26,68,7686,439,0,23,0,0,1623,0,38,8,0,41,0,0,105,10,0,56,0,191,2,0,525,0,0,294,0,0,0,4,0,0,0,0,0,0,200,0,117,0,0,0,0,1150,0,1634,0,259,0,0,0,0,0,200,0,12,0,0,57,108,65,0,13,0,0,0,11,0,0,0,83,0,0,0,9,0,0,0,0,7,0,0,0,108,1847,17,1906,13,557,0,3,0,35,0,3307,242,0,0,9,6,2106,11,0,20,0,0,0,21,0,0,0,0,0,48,3269,29,1102,0,72,1113,907,4,0,0,0,0,28,0,0,35,0,14,77,0,1889,303,208,0,0,191,223,0,0,14,0,0,429,0,0,0,0,107,0
112,112,"4/19/21 12:49",1,9,0,1,1,-119.6858767,35.06172396,NA,NA,"AS09SN12","S","S","N",1,"S09","S09SN1","S09SN1","S09","SN","4/19/21 12:49",12,49,12.81666667,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S911","JTMR009FD",0,44,0,15,0,0,625,0,0,0,0,0,0,0,0,0,0,0,0,0,100,305,0,0,0,455,51,0,0,7,9,27,0,150,22,0,0,172,1003,38,0,50,0,0,0,0,0,0,0,0,0,204,0,0,521,0,103,10,0,233,0,0,0,0,0,0,0,392,0,0,931,0,0,0,0,0,28,0,0,0,0,0,176,3,0,0,0,0,0,0,0,0,0,4,38,6861,119,0,25,0,9,1120,0,32,26,0,44,0,8,93,121,0,10,0,214,9,0,312,0,0,186,0,0,0,9,0,0,0,0,0,0,333,0,55,0,0,0,0,2458,0,1368,0,336,6,0,0,0,0,175,0,7,0,0,8,7,26,0,17,0,2,0,57,0,0,0,34,0,0,0,63,0,0,0,0,0,0,0,0,335,1739,22,1750,17,522,0,0,0,13,0,3009,217,3,0,0,0,580,25,0,59,0,0,0,28,5,0,0,0,0,0,1876,112,1024,0,77,995,412,5,0,0,0,0,66,18,0,50,0,7,128,0,1178,94,96,0,4,43,171,0,0,0,26,0,361,0,2,4,0,159,0
113,113,"4/19/21 12:59",1,9,1,0,1,-119.6859942,35.06130704,NA,NA,"AS09PE12","S","P","E",1,"S09","S09PE1","S09PE1","S09","PE","4/19/21 12:59",12,59,12.98333333,"Spring",NA,NA,NA,32.27,33.37,33.12,33.41,4,1,"S901","JTMR009EC",31,97,0,18,0,9,497,0,0,0,0,8,7,0,0,0,7,0,7,0,70,808,0,0,0,808,108,0,0,0,10,12,3,85,0,0,0,300,882,92,0,76,0,0,0,0,0,0,0,0,0,273,11,0,824,0,300,14,0,325,9,0,0,0,0,0,0,538,0,0,515,0,0,5,0,0,2,0,8,4,0,0,280,0,0,0,0,0,0,12,0,6,4,21,89,6517,361,0,35,0,21,1713,0,169,0,0,107,0,6,188,140,0,63,0,371,15,0,708,0,0,148,0,9,0,13,0,0,0,0,0,0,665,22,85,0,0,0,0,1723,0,1853,35,537,8,0,0,0,0,207,0,0,0,4,7,37,90,0,22,4,0,0,70,0,0,0,150,4,11,0,135,0,0,0,0,11,0,10,0,292,1575,10,1816,49,788,0,7,0,49,0,3880,149,10,0,3,0,1008,33,30,119,2,0,0,51,0,0,0,0,0,24,3026,52,1044,0,111,499,814,7,0,0,0,9,225,7,0,34,5,11,312,0,2131,293,214,0,0,166,356,0,0,0,39,0,759,0,0,6,0,83,0
114,114,"4/19/21 13:07",1,9,0,0,1,-119.6860301,35.06126718,NA,NA,"AS09SE12","S","S","E",1,"S09","S09SE1","S09SE1","S09","SE","4/19/21 13:07",13,7,13.11666667,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S901","JTMR009DC",16,247,0,61,0,5,774,0,0,0,11,0,0,0,0,6,0,0,0,2,67,440,0,0,0,1589,193,0,0,0,0,3,0,38,0,0,0,427,566,172,0,30,0,0,0,0,0,0,0,0,0,122,0,0,651,0,228,0,0,323,0,0,0,0,0,0,0,373,0,0,147,0,0,4,0,0,0,0,0,7,0,0,535,0,0,9,0,0,0,0,0,5,0,8,18,6851,891,0,59,0,9,2085,0,52,11,0,116,0,0,242,283,0,82,0,241,18,0,813,0,0,509,0,0,0,0,0,0,0,5,0,0,387,21,169,0,0,0,0,582,0,1994,14,322,0,0,0,0,0,228,0,0,0,9,130,83,93,9,0,0,0,0,25,0,0,3,81,0,0,4,78,0,0,0,0,3,0,3,0,215,1202,0,1621,30,1584,1,0,2,36,0,2654,37,0,0,0,17,2882,50,31,13,0,0,0,19,0,8,0,0,0,88,3899,23,904,0,28,787,573,6,0,0,0,0,160,10,0,60,7,13,20,0,2000,308,501,0,0,196,608,0,0,0,0,0,692,0,0,0,0,18,0
116,116,"4/19/21 10:20",1,8,1,1,1,-119.6803251,35.05925036,NA,NA,"AS08PN12","S","P","N",1,"S08","S08PN1","S08PN1","S08","PN","4/19/21 10:20",10,20,10.33333333,"Spring",NA,NA,NA,36.56,36.02,36.99,36.33,4,1,"S811","JTMR009FA",8,11,0,0,0,0,991,0,0,0,0,0,0,0,0,0,0,0,0,0,82,496,0,0,0,433,19,4,0,0,0,25,0,89,17,0,0,114,1514,19,0,28,0,0,0,0,0,0,0,0,0,221,0,23,357,0,72,21,0,319,0,0,0,0,0,0,0,94,0,151,1399,0,0,0,0,0,3,0,0,7,0,0,124,0,0,3,0,78,0,36,0,0,11,0,48,9207,85,0,10,0,13,985,0,73,14,0,55,0,0,72,27,0,0,0,574,4,0,136,0,0,152,0,0,0,0,0,0,0,0,0,0,278,0,19,0,0,0,0,2824,0,1083,0,273,21,0,0,0,0,206,0,10,0,0,0,12,37,0,22,0,15,0,43,0,0,0,26,0,0,0,141,0,0,0,0,5,0,10,0,182,1161,35,991,15,91,0,0,0,11,0,3295,539,0,0,4,0,928,25,0,32,0,0,0,5,3,0,0,0,0,0,1266,148,947,0,29,531,123,5,0,0,0,0,36,20,0,45,0,0,19,0,1489,273,72,0,0,156,148,0,0,0,33,0,236,0,0,0,0,51,0
117,117,"4/19/21 10:42",1,8,0,1,1,-119.6803061,35.0592554,NA,NA,"AS08SN12","S","S","N",1,"S08","S08SN1","S08SN1","S08","SN","4/19/21 10:42",10,42,10.7,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S811","JTMR009BT",14,135,0,0,0,0,1145,0,0,0,0,0,3,0,0,0,0,0,9,0,93,745,0,0,3,421,178,0,0,0,0,25,0,44,0,0,0,154,739,76,0,39,0,0,0,0,0,0,0,0,0,150,8,0,262,0,62,8,0,135,0,0,0,0,0,0,0,266,0,0,672,0,0,0,0,0,0,0,0,4,0,0,395,0,0,57,0,0,0,29,0,0,8,0,7,9668,400,0,26,0,23,1178,0,199,9,0,43,0,0,111,141,0,78,2,464,0,0,501,0,0,240,0,0,0,0,0,0,0,0,0,0,454,15,215,33,0,0,0,1687,0,1568,0,393,0,0,0,0,0,108,0,0,0,0,8,95,63,2,15,0,0,0,7,0,0,3,52,0,0,0,18,0,0,0,0,20,0,3,0,157,890,0,2018,48,476,3,0,0,41,0,3721,420,7,15,0,16,1662,47,13,39,0,0,0,5,4,0,0,0,0,0,2870,52,788,0,99,430,272,13,0,0,0,0,134,0,0,42,0,11,110,0,2351,594,334,0,0,85,398,0,0,0,7,0,600,0,4,0,0,23,0
118,118,"4/19/21 14:38",1,10,1,0,1,-119.6926353,35.0647591,NA,NA,"AS10PE12","S","P","E",1,"S10","S10PE1","S10PE1","S10","PE","4/19/21 14:38",14,38,14.63333333,"Spring",NA,NA,NA,NA,39.46,NA,NA,1,0,"S1001","JTMR008N",0,13,0,0,0,0,318,0,0,0,0,0,6,0,0,0,173,0,0,0,0,486,0,0,5,1537,68,5,7,0,8,4,0,17,0,0,13,250,533,11,0,52,0,0,0,0,0,0,0,0,0,314,57,0,349,0,16,0,4,59,0,0,11,5,0,0,0,1871,0,0,257,0,0,0,0,0,0,0,88,0,0,0,130,0,2,0,0,0,0,0,0,13,0,0,20,3430,72,0,37,0,24,763,0,461,264,0,54,0,0,44,106,0,142,0,169,0,0,217,0,0,0,0,4,0,14,0,0,0,0,0,0,93,0,14,0,0,0,0,1152,0,1480,22,643,19,0,0,0,0,57,0,4,0,0,0,82,72,0,7,10,0,0,23,54,0,0,480,0,0,0,39,0,7,0,0,13,0,0,0,380,2713,0,2593,24,95,11,0,0,47,0,3246,68,93,1,4,0,154,58,47,82,0,0,0,6,0,0,0,0,0,0,4101,119,812,0,468,2938,1782,0,0,0,0,5,71,15,0,24,15,64,9,0,2856,70,113,0,0,97,353,0,0,0,5,0,799,0,0,6,0,81,16
119,119,"4/19/21 15:52",1,7,1,1,1,-119.6555894,35.08361336,NA,NA,"AS07PN12","S","P","N",1,"S07","S07PN1","S07PN1","S07","PN","4/19/21 15:52",15,52,15.86666667,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S711","JTMR008U",26,0,0,0,0,10,1368,0,0,0,0,0,0,0,0,0,4,0,0,0,107,313,0,0,0,150,0,10,0,0,0,71,0,211,26,0,0,219,1674,27,0,21,0,0,0,0,0,0,0,0,0,281,0,84,1285,0,150,281,0,240,13,0,0,0,0,0,0,203,0,549,1326,0,0,10,0,0,0,0,0,2,0,0,51,0,0,0,0,0,0,0,0,0,19,0,253,9616,44,0,0,0,0,1479,0,6,0,0,99,0,0,30,4,0,9,0,278,12,0,92,0,0,582,0,0,0,11,0,0,0,0,0,0,176,0,0,0,0,0,0,2194,0,1805,18,233,29,0,0,0,0,138,0,60,0,0,0,7,7,0,0,0,20,0,34,0,0,0,24,0,0,0,13,0,0,0,0,0,0,0,0,487,1463,67,1104,0,72,0,0,0,0,0,3190,645,0,5,9,0,354,0,0,57,0,0,0,28,12,0,3,0,0,0,840,155,1032,0,0,138,245,0,0,0,0,0,225,8,0,83,0,0,0,0,772,90,27,0,0,76,116,0,0,0,29,0,165,0,0,0,0,75,0
