"X.1","X","date_time_samp","site","plot_num","treatment","exclosure","paired","longitude","latitude","man_long","man_lat","barcode","sample_num","veg_type","veg_level","vwc","period","soil_temp","pH","siteX","treatmentX","exclosureX","pairedX","plot","cluster","clusterBC","plotBC","factorial","veg_type_med","veg_level_med","vwc_med","period_med","soil_temp_med","pH_med","Date","hour","minute","time","season","notes_cluster","number","year","CT1","CT2","CT3","CT4","Ct_detects","positive","cluster_pair","Library_Name","Abditibacteria","Acidimicrobiia","Acidobacteriae","Actinobacteria","AD3","AKAU4049","Alphaproteobacteria","Anaerolineae","Armatimonadia","Babeliae","Bacilli","bacteriap25","Bacteroidia","BD2-11_terrestrial_group","Bdellovibrionia","Berkelbacteria","Blastocatellia","Campylobacteria","Chlamydiae","Chloroflexia","Chthonomonadetes","Clostridia","Coriobacteriia","Cyanobacteriia","Deferribacteres","Dehalococcoidia","Deinococci","Desulfovibrionia","Desulfuromonadia","Dojkabacteria","Elusimicrobia","Entotheonellia","Fibrobacteria","Fimbriimonadia","GAL15","Gammaproteobacteria","Gemmatimonadetes","Gitt-GS-136","Gracilibacteria","Holophagae","Hydrogenedentia","JG30-KF-CM66","Kapabacteria","Kazania","KD4-96","Ktedonobacteria","Limnochordia","Lineage_IIa","Lineage_IIb","Lineage_IIc","Longimicrobia","MB-A2-108","MBNT15","Methanobacteria","Methylomirabilia","Microgenomatia","Moorellia","Myxococcia","N9D0","Nanoarchaeia","NB1-j","Negativicutes","Nitrososphaeria","Nitrospiria","OLB14","Oligoflexia","OM190","P2-11E","Parcubacteria","Phycisphaerae","Pla4_lineage","Planctomycetes","Polyangia","RCP2-54","Rhodothermia","Rubrobacteria","S0134_terrestrial_group","Saccharimonadia","SAR324_clade(Marine_group_B)","Sericytochromatia","SHA-26","SJA-28","Subgroup_22","Subgroup_25","Subgroup_5","Sumerlaeia","Symbiobacteriia","Thermoanaerobaculia","Thermoleophilia","Thermoplasmata","TK10","TX1A-33","uncultured","unspecified_Actinobacteriota","unspecified_Archaea","unspecified_Bacteria","unspecified_Chloroflexi","unspecified_Firmicutes","unspecified_Gemmatimonadota","unspecified_Myxococcota","unspecified_Patescibacteria","unspecified_Planctomycetota","unspecified_Unassigned","vadinHA49","Vampirivibrionia","Verrucomicrobiae","Vicinamibacteria","WPS-2","WS2","WWE3"
409,409,"4/19/2021 14:08",1,10,1,1,1,-119.6921527,35.06498,NA,NA,"AEX01",5,2,1,5.3,1.171,86,NA,"S","P","N",1,"S10","S10PN1","EX01","EX0","PN",2,1,5.3,1.171,80,NA,"2021-04-19 14:08:00",14,8,14.1333333333333,"Spring",NA,NA,NA,39.58,38.38,NA,35.77,3,1,"S1011","JTMR008T",12,494,291,17545,0,0,8116,58,133,0,330,31,3172,0,38,0,490,0,0,2029,0,0,0,437,0,0,0,0,0,0,0,0,5,11,0,2519,1333,33,0,0,0,23,0,0,232,107,0,0,0,0,330,19,0,0,0,0,0,120,0,0,0,0,8,6,0,8,0,0,0,30,0,18,229,0,0,1269,0,9,0,0,0,0,0,0,0,3,0,96,1356,0,97,0,0,0,0,47,18,0,0,0,0,0,0,0,0,252,214,0,0,0
410,410,"4/19/2021 14:26",1,10,0,1,1,-119.6921896,35.06494627,NA,NA,"AS10SN15",5,2,1,3.8,1.135,85,NA,"S","S","N",1,"S10","S10SN1","S10SN1","S10","SN",2,1,6.9,1.202,81,NA,"2021-04-19 14:26:00",14,26,14.4333333333333,"Spring",NA,NA,NA,34.3,35.34,35.08,36.19,4,1,"S1011","JTMR009DL",15,1046,361,25888,0,0,10741,81,101,0,812,112,3354,0,68,0,1243,0,0,3428,3,0,0,137,0,42,0,0,0,0,0,0,31,4,0,1815,2335,103,0,293,11,84,14,0,738,134,0,0,0,0,683,145,0,0,0,0,0,183,0,0,0,0,34,65,0,25,0,0,2,15,0,225,371,3,0,2104,30,55,0,14,0,0,0,0,0,7,0,191,3795,20,427,0,22,6,0,113,75,0,24,0,0,0,0,0,0,519,547,0,3,0
411,411,"4/19/2021 12:34",1,9,1,1,1,-119.6857639,35.06167467,NA,NA,"AS09PN15",5,1,2,2.9,1.116,90,NA,"S","P","N",1,"S09","S09PN1","S09PN1","S09","PN",1,2,2.9,1.116,89,NA,"2021-04-19 12:34:00",12,34,12.5666666666667,"Spring",NA,NA,NA,36.04,NA,37.23,35.81,3,1,"S911","JTMR008DE",0,414,319,16868,0,0,6361,47,75,0,1149,13,2090,4,38,0,454,0,0,1456,3,0,0,142,0,0,9,0,0,0,0,0,10,11,0,1233,1435,50,0,39,0,28,0,0,423,46,0,4,0,0,227,11,0,0,3,0,0,245,0,0,0,0,29,13,9,7,0,0,0,59,0,61,248,0,0,619,11,62,0,0,0,0,0,0,0,0,0,48,2083,0,107,0,6,0,0,0,8,0,0,0,0,0,0,0,3,227,349,0,0,0
412,412,"4/19/2021 12:49",1,9,0,1,1,-119.6858767,35.06172396,NA,NA,"AS09SN15",5,1,1,4.5,1.152,75,NA,"S","S","N",1,"S09","S09SN1","S09SN1","S09","SN",1,1,4.9,1.162,76,NA,"2021-04-19 12:49:00",12,49,12.8166666666667,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S911","JTMR009EW",0,612,325,14046,0,0,5128,34,116,0,148,75,895,0,24,0,1225,0,0,1398,0,0,0,0,0,18,0,0,0,0,0,0,0,5,0,481,1502,29,0,131,0,68,4,0,542,89,0,0,0,0,265,86,0,0,6,0,0,102,0,0,0,0,0,27,0,0,0,0,0,19,0,137,149,0,0,915,4,12,0,0,0,0,0,0,0,10,0,44,2831,0,126,0,6,0,0,55,62,0,0,0,0,0,0,0,14,392,448,0,0,0
413,413,"4/19/2021 12:59",1,9,1,0,1,-119.6859942,35.06130704,NA,NA,"AS09PE15",5,1,2,2.6,1.109,73,NA,"S","P","E",1,"S09","S09PE1","S09PE1","S09","PE",1,2,2.9,1.117,73,NA,"2021-04-19 12:59:00",12,59,12.9833333333333,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S901","JTMR009CE",2,398,264,13623,0,0,7005,65,19,0,396,21,2115,0,18,0,208,0,0,1191,0,155,6,964,0,0,0,10,0,0,0,0,0,0,0,1536,800,42,0,128,0,8,4,0,198,18,0,0,0,0,224,12,0,0,0,0,0,188,0,0,0,0,0,43,0,9,0,0,0,47,0,13,363,0,0,237,13,38,0,0,0,0,0,0,0,0,0,53,1234,3,37,0,0,0,0,20,0,0,0,0,0,0,0,0,0,286,338,0,0,0
414,414,"4/19/2021 13:07",1,9,0,0,1,-119.6860301,35.06126718,NA,NA,"AS09SE15",5,1,2,6.7,1.196,83,NA,"S","S","E",1,"S09","S09SE1","S09SE1","S09","SE",1,2,6.3,1.19,80,NA,"2021-04-19 13:07:00",13,7,13.1166666666667,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S901","JTMR008EF",0,425,129,9230,0,0,3532,48,47,0,881,124,743,5,0,0,1185,0,0,1616,9,0,0,4,0,11,0,0,0,0,0,7,0,0,0,1074,1031,32,0,109,0,41,10,0,373,50,0,0,0,0,410,65,0,0,14,0,0,162,0,0,0,0,43,48,0,19,0,0,0,26,0,60,152,7,0,1419,15,45,0,4,0,0,0,0,0,16,0,38,2079,12,115,0,4,0,0,13,16,0,0,0,0,0,0,0,0,307,442,0,0,0
416,416,"4/19/2021 10:20",1,8,1,1,1,-119.6803251,35.05925036,NA,NA,"AS08PN15",5,2,1,4.1,1.143,80,9,"S","P","N",1,"S08","S08PN1","S08PN1","S08","PN",2,1,4.4,1.149,77,9,"2021-04-19 10:20:00",10,20,10.3333333333333,"Spring",NA,NA,NA,33.13,33.51,33.57,33.07,4,1,"S811","JTMR009AR",0,879,224,19895,0,0,9689,86,90,0,763,87,2351,0,34,0,403,0,0,3480,0,10,0,610,0,30,9,0,0,0,0,24,11,3,0,1858,1317,188,0,45,0,58,4,0,297,20,0,0,0,0,439,177,5,0,0,0,0,154,0,0,0,0,18,63,0,5,0,0,2,64,0,146,258,0,5,1799,36,35,0,0,0,0,0,0,0,11,0,53,3169,0,155,0,0,0,0,16,59,0,0,0,0,0,0,0,0,429,436,0,5,0
417,417,"4/19/2021 10:42",1,8,0,1,1,-119.6803061,35.0592554,NA,NA,"AS08SN15",5,1,1,5.1,1.163,70,8,"S","S","N",1,"S08","S08SN1","S08SN1","S08","SN",1,1,5.3,1.169,73,8,"2021-04-19 10:42:00",10,42,10.7,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S811","JTMR009EB",0,812,214,14379,0,0,6407,63,95,0,429,286,416,0,8,0,870,0,0,3442,0,0,0,45,0,50,0,0,0,0,0,52,7,0,0,689,1329,156,0,151,0,60,11,0,523,68,0,0,0,0,209,258,0,0,24,0,0,129,0,0,0,0,58,49,0,20,0,0,0,39,0,137,125,0,0,2390,91,17,0,0,0,0,0,0,9,0,0,75,4332,16,314,0,0,0,0,37,72,0,0,0,0,0,0,0,0,348,553,0,6,0
418,418,"4/19/2021 14:38",1,10,1,0,1,-119.6926353,35.0647591,NA,NA,"AS10PE15",5,0,0,3.14,1.126,86,NA,"S","P","E",1,"S10","S10PE1","S10PE1","S10","PE",1,1,2.9,1.117,79,NA,"2021-04-19 14:38:00",14,38,14.6333333333333,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S1001","JTMR009EP",0,2139,519,19108,0,0,8114,76,38,15,2327,182,802,8,26,0,1257,0,2,3591,0,29,0,0,0,64,0,0,0,0,3,0,0,42,0,1493,1717,313,0,157,0,84,9,0,771,23,0,0,0,0,346,168,0,0,0,0,0,202,0,0,4,3,77,116,7,31,0,0,11,69,0,275,663,25,0,1091,71,124,0,4,0,0,0,0,6,4,0,106,7595,4,225,0,0,0,0,79,48,2,11,0,0,0,0,0,4,630,1008,0,0,0
419,419,"4/19/2021 15:52",1,7,1,1,1,-119.6555894,35.08361336,NA,NA,"AS07PN15",5,0,0,0.9,1.067,82,7,"S","P","N",1,"S07","S07PN1","S07PN1","S07","PN",0,0,2.8,1.111,80,7,"2021-04-19 15:52:00",15,52,15.8666666666667,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S711","JTMR008EU",3,209,178,18760,0,0,6770,24,104,0,31,0,4443,0,71,0,272,0,0,1106,3,106,7,1321,0,0,16,0,0,0,0,0,10,19,0,7324,1125,0,0,10,0,9,7,0,62,18,0,0,0,0,44,0,0,0,0,0,0,242,0,0,0,0,9,0,0,38,0,0,0,16,0,5,426,0,0,318,4,47,0,6,0,0,0,0,0,6,0,7,894,0,27,0,0,0,0,4,19,9,0,0,0,0,0,0,0,352,119,0,0,0
420,420,"4/19/2021 16:10",1,7,0,1,1,-119.6556631,35.08355597,NA,NA,"AS07SE15",5,0,0,7.9,1.214,86,7,"S","S","N",1,"S07","S07SN1","S07SE1","S07","SN",0,0,7.8,1.212,82,7,"2021-04-19 16:10:00",16,10,16.1666666666667,"Spring",NA,NA,NA,34.42,36.15,35.67,NA,3,1,"S711","JTMR008EH",13,735,428,18621,0,0,9225,59,207,0,139,132,2107,0,16,0,1781,0,0,3284,16,0,0,81,0,34,0,0,0,0,0,0,7,11,0,906,1583,112,0,158,0,87,0,0,623,133,0,0,0,0,345,91,0,0,0,0,0,158,0,0,0,0,37,49,0,12,0,0,0,32,0,164,321,0,3,1295,26,13,0,13,0,0,0,0,0,0,0,89,3049,36,270,0,25,0,0,55,94,0,0,0,0,0,0,0,0,691,537,0,20,0
421,421,"4/20/2021 8:54",0,1,1,1,1,-119.7464592,35.13335429,NA,NA,"AC01PN15",5,1,1,5.9,1.18,66,NA,"C","P","N",1,"C01","C01PN1","C01PN1","C01","PN",1,1,6.1,1.182,67,NA,"2021-04-20 08:54:00",8,54,8.9,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C111","JTMR009U",0,416,155,18599,0,0,8789,122,86,0,659,8,8528,0,40,0,227,0,0,1787,0,2743,105,605,6,6,0,61,0,0,0,0,13,7,0,3438,954,4,0,19,0,11,0,0,72,21,0,0,0,0,367,0,0,0,0,0,0,226,0,0,0,44,0,0,0,22,0,0,0,64,0,35,564,0,0,430,25,36,0,5,0,0,0,0,0,26,0,54,991,0,40,0,0,0,3,7,6,0,0,0,0,0,0,0,0,453,114,0,0,0
422,422,"4/20/2021 9:19",0,1,0,1,1,-119.7465261,35.13336847,NA,NA,"AC01SN15",5,1,1,8.6,1.229,71,NA,"C","S","N",1,"C01","C01SN1","C01SN1","C01","SN",1,1,8.7,1.229,71,NA,"2021-04-20 09:19:00",9,19,9.31666666666667,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C111","JTMR008FD",0,595,317,13102,0,0,4860,98,27,0,181,98,1231,0,10,0,1584,0,0,3002,3,0,0,24,0,25,0,0,0,0,0,0,0,14,0,729,1238,64,0,150,0,113,6,0,630,120,0,0,0,0,175,40,0,0,8,0,0,87,0,0,0,0,0,12,0,26,0,0,0,39,0,37,307,0,0,1316,21,5,0,0,2,0,0,0,0,0,0,94,2909,2,179,0,6,0,0,82,147,0,0,0,0,0,0,0,2,659,621,0,0,0
423,423,"4/20/2021 9:36",0,1,1,0,1,-119.7465626,35.13333827,NA,NA,"AC01PE15",5,1,1,4.7,1.153,64,NA,"C","P","E",1,"C01","C01PE1","C01PE1","C01","PE",1,1,8.6,1.233,66,NA,"2021-04-20 09:36:00",9,36,9.6,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C101","JTMR009DJ",0,517,190,19789,12,4,3086,57,5,3,2616,96,1320,8,22,0,120,0,0,2883,0,32,0,0,0,43,2,0,2,0,0,7,0,0,0,2439,880,721,0,62,0,56,4,0,284,15,7,0,3,0,213,149,0,0,8,0,0,69,0,0,0,0,39,65,9,6,0,5,0,12,0,62,213,0,0,946,55,54,0,0,0,0,0,0,0,33,0,67,3230,0,115,0,0,0,0,17,5,0,21,0,0,0,0,0,2,263,484,0,9,0
424,424,"4/20/2021 11:58",0,5,1,1,1,-119.7390416,35.12009123,NA,NA,"AC05PN15",5,1,1,3.5,1.129,82,NA,"C","P","N",1,"C05","C05PN1","C05PN1","C05","PN",1,1,2.7,1.112,73,NA,"2021-04-20 11:58:00",11,58,11.9666666666667,"Spring",NA,NA,NA,34.1,34.11,34.36,37.6,4,1,"C511","JTMR008H",0,17,12,1078,0,0,201,0,0,0,4270,5,3747,0,0,0,0,34,0,93,0,8344,164,60,0,0,0,0,0,0,0,0,0,0,0,92,32,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,169,6,0,0,0,0
425,425,"4/20/2021 12:07",0,5,0,1,1,-119.7390459,35.12011426,NA,NA,"AC05SN15",5,0,0,5.8,1.178,71,NA,"C","S","N",1,"C05","C05SN1","C05SN1","C05","SN",0,0,5.4,1.172,70,NA,"2021-04-20 12:07:00",12,7,12.1166666666667,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C511","JTMR008EB",0,802,283,13646,0,0,5582,85,110,2,557,187,804,0,15,0,1577,0,0,3104,0,0,0,673,0,48,0,0,0,0,0,3,3,0,0,622,1752,149,0,270,0,108,6,0,754,148,0,0,0,0,274,94,0,0,15,0,0,83,0,0,0,0,74,103,0,7,0,0,0,15,0,179,201,0,0,1655,49,33,0,0,0,0,0,0,5,0,0,87,3528,12,302,0,5,0,0,75,123,0,0,0,0,0,0,0,3,457,615,0,0,0
426,426,"4/20/2021 12:18",0,5,1,0,1,-119.7388057,35.11962447,NA,NA,"AC05PE15",5,1,2,2.9,1.117,74,NA,"C","P","E",1,"C05","C05PE1","C05PE1","C05","PE",1,2,2.95,1.119,73,NA,"2021-04-20 12:18:00",12,18,12.3,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C501","JTMR009CC",0,819,349,16223,0,0,8384,111,82,0,260,29,2548,0,43,0,431,0,0,2557,0,0,0,771,0,10,9,0,0,0,0,0,11,4,0,1192,1140,93,0,77,0,25,6,0,224,60,0,0,2,0,526,6,0,0,0,0,0,313,0,0,0,0,74,66,0,13,0,0,0,54,0,67,373,0,2,895,10,4,0,0,0,0,0,0,2,11,0,80,1386,0,200,0,6,0,0,2,48,0,0,0,0,0,0,0,0,470,387,0,0,0
427,427,"4/20/2021 12:30",0,5,0,0,1,-119.7387258,35.11962593,NA,NA,"AC05SE15",5,1,2,6.4,1.195,77,NA,"C","S","E",1,"C05","C05SE1","C05SE1","C05","SE",1,2,5.8,1.181,74,NA,"2021-04-20 12:30:00",12,30,12.5,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C501","JTMR008EJ",0,406,238,10518,0,0,3963,55,60,0,205,55,1016,0,7,0,1040,0,0,2186,6,0,0,90,0,20,0,0,0,0,0,0,12,5,0,643,930,72,0,264,0,46,12,0,477,55,0,0,0,0,216,30,0,0,0,0,0,52,0,0,0,0,37,44,2,3,0,0,0,29,0,151,251,0,0,893,15,41,0,0,0,0,0,0,0,8,0,125,2199,15,210,0,0,0,0,45,34,0,0,0,0,0,0,0,0,341,446,0,4,0
429,429,"4/20/2021 15:06",0,8,1,0,1,-119.7303208,35.11330633,NA,NA,"AC08PE15",5,1,2,NA,NA,81,NA,"C","P","E",1,"C08","C08PE1","C08PE1","C08","PE",1,2,NA,NA,76,NA,"2021-04-20 15:06:00",15,6,15.1,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C801","JTMR008DG",0,664,252,11668,0,5,5431,75,42,0,990,89,1201,11,58,0,444,0,0,2001,0,0,0,26,0,23,8,0,0,0,0,0,14,6,0,1369,1074,574,0,152,0,25,19,0,508,12,0,0,0,0,336,313,0,0,6,0,0,135,0,0,0,0,15,66,10,15,0,0,0,49,0,56,256,0,3,681,180,53,0,5,0,0,0,0,0,7,0,60,3280,17,89,0,6,6,0,72,6,0,8,0,0,0,0,0,0,386,839,0,7,0
430,430,"4/20/2021 15:12",0,8,0,0,1,-119.7303044,35.11333615,NA,NA,"AC08SE15",5,1,1,NA,NA,74,NA,"C","S","E",1,"C08","C08SE1","C08SE1","C08","SE",1,1,NA,NA,80,NA,"2021-04-20 15:12:00",15,12,15.2,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C801","JTMR009M",3,620,265,10687,0,0,4667,37,104,0,296,217,388,0,16,0,1126,0,0,2795,5,0,0,22,0,32,3,0,0,0,2,0,0,6,0,527,1173,137,0,121,4,166,0,0,522,152,0,0,0,0,169,113,4,0,8,0,0,94,0,0,0,0,71,45,0,0,0,0,0,46,0,150,162,0,0,2164,26,11,0,4,0,0,0,0,0,0,0,131,2642,5,281,0,12,0,0,14,59,0,0,0,0,0,0,0,0,118,495,0,0,0
431,431,"4/20/2021 16:02",0,7,0,1,1,-119.7328044,35.10881524,NA,NA,"AC07SN15",5,0,0,NA,NA,89,NA,"C","S","N",1,"C07","C07SN1","C07SN1","C07","SN",0,0,NA,NA,86,NA,"2021-04-20 16:02:00",16,2,16.0333333333333,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C711","JTMR009BZ",9,1063,541,18704,0,0,8273,87,77,0,609,346,1545,0,22,0,1238,0,0,3342,0,0,0,624,0,55,0,0,0,0,0,0,9,9,0,1082,2220,154,2,225,0,146,0,0,806,92,0,0,0,0,454,66,0,0,15,0,0,152,0,0,0,0,112,100,0,28,0,3,0,48,0,402,383,0,0,2110,46,16,0,0,3,0,0,0,7,6,0,392,4147,25,302,0,8,0,0,52,179,0,0,0,0,0,0,0,2,472,655,0,6,0
432,432,"4/20/2021 16:26",0,7,1,0,1,-119.7322054,35.10828516,NA,NA,"AC07PE15",5,1,3,NA,NA,73,NA,"C","P","E",1,"C07","C07PE1","C07PE1","C07","PE",1,3,NA,NA,75,NA,"2021-04-20 16:26:00",16,26,16.4333333333333,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C701","JTMR008DQ",4,849,264,9367,0,14,5440,77,39,0,1064,233,814,5,23,2,734,0,0,3332,0,0,0,30,0,56,6,0,0,0,0,12,56,0,0,871,1403,351,0,196,0,101,10,0,518,172,0,0,0,0,256,205,5,0,18,0,0,137,0,0,0,0,135,96,13,37,0,6,0,43,0,9,318,0,3,2620,109,12,0,11,0,0,0,0,0,4,0,59,3892,39,250,0,4,50,0,70,66,0,26,0,0,0,0,0,0,313,742,0,10,0
434,434,"4/20/2021 9:33",0,1,0,0,1,-119.7461097,35.13267475,NA,NA,"AC01SE15",5,1,1,14.4,1.338,72,NA,"C","S","E",1,"C01","C01SE1","C01SE1","C01","SE",1,1,14.4,1.338,74,NA,"2021-04-20 09:33:00",9,33,9.55,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C101","JTMR009A",0,266,219,10940,0,0,3456,25,20,0,112,15,766,0,12,0,85,0,0,2900,4,0,0,235,0,6,3,0,0,0,0,0,9,5,0,616,962,18,0,24,0,88,0,0,303,78,0,0,0,0,116,5,0,0,0,0,0,78,0,0,0,0,11,23,0,0,0,0,0,46,0,63,149,0,0,1317,5,0,0,0,0,0,0,0,0,10,0,58,1437,0,252,0,9,0,0,10,41,0,0,0,0,0,0,0,0,31,124,0,0,0
437,437,"4/20/2021 13:35",0,6,0,1,1,-119.7484989,35.11545547,NA,NA,"AC06SN15",5,1,2,10,1.25,84,NA,"C","S","N",1,"C06","C06SN1","C06SN1","C06","SN",1,1,11.2,1.273,85,NA,"2021-04-20 13:35:00",13,35,13.5833333333333,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C611","JTMR008AW",6,751,433,20055,0,0,7412,102,19,0,63,87,1426,7,0,0,1087,0,0,3237,0,4,0,851,0,0,3,0,3,0,0,4,10,7,0,1050,2111,56,0,132,0,73,5,0,690,152,0,0,0,0,327,18,0,0,0,0,0,109,0,0,0,0,33,68,0,4,0,0,0,33,0,266,309,0,0,1920,21,37,0,0,0,0,0,0,0,16,0,81,3430,5,294,0,0,0,0,83,188,0,0,0,0,0,0,0,0,673,607,0,0,0
438,438,"4/20/2021 13:40",0,6,1,1,1,-119.7481216,35.08300489,NA,NA,"AC06PN15",5,1,3,11.3,1.276,79,NA,"C","P","N",1,"C06","C06PN1","C06PN1","C06","PN",1,3,8.9,1.239,83,NA,"2021-04-20 13:40:00",13,40,13.6666666666667,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C611","JTMR009EH",4,534,163,16547,0,0,6272,72,69,0,526,85,1941,0,51,0,328,0,0,2550,0,0,0,520,0,0,10,0,0,0,0,0,18,18,0,1927,1037,25,0,29,0,46,7,0,210,33,0,0,0,0,217,13,0,0,0,0,0,166,0,0,0,0,14,24,0,50,0,0,0,50,0,58,292,0,0,993,14,5,0,15,0,0,0,0,0,44,0,46,1566,0,74,0,0,0,0,15,20,0,0,0,0,0,0,0,0,622,205,0,0,0
439,439,"4/20/2021 13:55",0,6,0,0,1,-119.7480654,35.11496663,NA,NA,"AC06SE15",5,1,2,9.6,1.246,75,NA,"C","S","E",1,"C06","C06SE1","C06SE1","C06","SE",1,1,7.1,1.197,75,NA,"2021-04-20 13:55:00",13,55,13.9166666666667,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C601","JTMR009BQ",0,658,318,17252,0,0,5959,138,48,0,812,73,824,0,8,0,743,0,0,2479,24,0,0,21,0,0,0,0,0,0,0,0,4,0,0,873,1490,60,0,433,0,43,7,0,551,27,0,4,0,0,228,34,0,0,4,0,0,41,0,0,0,0,9,78,6,14,0,0,0,0,0,138,454,0,0,949,19,54,0,2,0,0,0,0,0,4,0,53,3159,0,308,0,14,0,0,57,62,0,0,0,0,0,0,0,0,897,580,0,4,0
440,440,"4/20/2021 14:46",0,8,1,1,1,-119.7311212,35.11667308,NA,NA,"AC08PN15",5,1,2,4.3,1.146,86,NA,"C","P","N",1,"C08","C08PN1","C08PN1","C08","PN",1,2,3.1,1.12,86,NA,"2021-04-20 14:46:00",14,46,14.7666666666667,"Spring",NA,NA,NA,NA,36.89,NA,36.13,2,0,"C811","JTMR009BP",0,775,256,20982,0,14,10540,79,96,0,420,63,3782,0,39,0,372,0,0,2927,0,0,0,273,0,32,4,0,0,0,0,0,14,4,0,3342,1535,57,0,34,0,35,4,0,157,18,0,0,0,0,250,128,0,0,23,0,0,232,0,0,0,0,14,50,6,27,0,3,0,76,0,58,459,0,0,1111,28,24,0,2,0,0,0,0,0,26,0,44,2430,0,76,0,0,0,0,37,34,0,3,0,0,0,0,0,0,706,225,0,0,0
441,441,"4/21/2021 8:25",1,6,1,1,1,-119.6600529,35.08097156,NA,NA,"AS06PN15",5,0,0,NA,NA,58,NA,"S","P","N",1,"S06","S06PN1","S06PN1","S06","PN",1,1,NA,NA,59,NA,"2021-04-21 08:25:00",8,25,8.41666666666667,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S611","JTMR008BE",0,721,284,21389,0,0,9376,77,113,0,362,64,2823,0,19,0,712,0,0,2572,0,0,0,402,0,22,4,0,0,0,0,0,11,5,0,2548,1184,142,0,70,0,49,3,0,376,64,0,0,0,0,321,58,0,0,0,0,0,164,0,0,0,0,44,73,0,25,0,0,0,38,0,41,293,0,0,1228,16,24,0,0,0,0,0,0,0,8,0,36,2198,0,176,0,0,0,0,4,44,0,16,0,0,0,0,0,0,529,481,0,0,0
442,442,"4/21/2021 8:36",1,6,0,1,1,-119.6600839,35.08096151,NA,NA,"AS06SN15",5,1,1,NA,NA,60,NA,"S","S","N",1,"S06","S06SN1","S06SN1","S06","SN",1,1,NA,NA,60,NA,"2021-04-21 08:36:00",8,36,8.6,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S611","JTMR008FB",3,686,303,13629,0,9,6288,63,54,3,1055,282,981,13,21,3,2456,0,0,3223,0,0,0,7,0,36,0,0,5,0,0,12,39,16,0,1024,1551,94,0,193,0,110,4,0,506,258,0,0,0,0,351,196,0,0,0,0,0,98,0,0,0,0,26,101,0,0,0,7,5,2,0,116,276,0,3,2528,42,13,0,0,0,0,0,0,7,0,0,82,3896,18,294,0,13,10,0,89,137,0,7,0,0,0,0,0,6,1116,782,7,0,0
444,444,"4/21/2021 8:57",1,6,1,0,1,-119.6595725,35.0814153,NA,NA,"AS06PE15",5,1,3,NA,NA,66,NA,"S","P","E",1,"S06","S06PE1","S06PE1","S06","PE",0,0,NA,NA,61,NA,"2021-04-21 08:57:00",8,57,8.95,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S601","JTMR008AK",0,876,302,12943,0,10,7597,97,15,7,2600,173,1216,9,47,0,719,0,0,2489,0,0,0,187,0,20,0,0,4,0,0,16,43,15,0,1656,1150,361,0,196,0,58,9,0,414,75,0,0,0,0,366,220,5,0,15,0,0,204,0,0,0,0,23,113,5,11,0,0,0,16,0,66,536,0,4,1318,166,75,0,8,0,0,0,0,0,18,0,84,3629,39,148,0,0,0,0,129,7,0,19,0,0,0,0,0,0,752,948,0,4,0
445,445,"4/21/2021 9:06",1,6,0,0,1,-119.659586,35.08134149,NA,NA,"AS06SE15",5,1,1,NA,NA,67,NA,"S","S","E",1,"S06","S06SE1","S06SE1","S06","SE",1,1,NA,NA,69,NA,"2021-04-21 09:06:00",9,6,9.1,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S601","JTMR009CR",0,997,392,17329,0,10,7275,20,108,0,203,451,1480,8,28,0,2299,0,0,3314,0,0,0,92,0,64,0,0,0,0,0,10,6,6,0,934,1573,63,0,136,0,132,0,0,759,279,0,0,0,0,181,146,4,0,18,0,0,154,0,0,0,0,26,70,0,0,0,0,0,147,0,340,123,4,0,2885,19,43,0,0,0,0,0,0,0,0,0,45,4429,5,536,0,11,7,0,40,50,0,0,0,0,0,0,0,0,239,590,5,0,0
