"X.1","X","date_time_samp","site","plot_num","treatment","exclosure","paired","longitude","latitude","man_long","man_lat","barcode","siteX","treatmentX","exclosureX","pairedX","plot","cluster","clusterBC","plotBC","factorial","Date","hour","minute","time","season","notes_cluster","number","year","CT1","CT2","CT3","CT4","Ct_detects","positive","cluster_pair","Library_Name","Acarosporaceae","Acrospermaceae","Agaricaceae","Agaricales_fam_Incertae_sedis","Ajellomycetaceae","Alphamycetaceae","Amanitaceae","Ambisporaceae","Amniculicolaceae","Amphisphaeriaceae","Arachnomycetaceae","Archaeosporaceae","Arthrodermataceae","Ascobolaceae","Ascodesmidaceae","Ascosphaeraceae","Aspergillaceae","Atheliaceae","Aureobasidiaceae","Auriculariales_fam_Incertae_sedis","Bartaliniaceae","Bezerromycetaceae","Bionectriaceae","Bolbitiaceae","Boliniales_fam_Incertae_sedis","Botryosphaeriaceae","Botryosphaeriales_fam_Incertae_sedis","Buckleyzymaceae","Bulleraceae","Bulleribasidiaceae","Candelariaceae","Cantharellales_fam_Incertae_sedis","Capnodiaceae","Capnodiales_fam_Incertae_sedis","Cephalothecaceae","Ceratobasidiaceae","Ceratocystidaceae","Chaetomiaceae","Chaetosphaeriaceae","Chaetothyriales_fam_Incertae_sedis","Chionosphaeraceae","Chrysozymaceae","Chytridiaceae","Cladosporiaceae","Claroideoglomeraceae","Clavicipitaceae","Coniocessiaceae","Coniochaetaceae","Coniothyriaceae","Cordycipitaceae","Corticiaceae","Cucurbitariaceae","Cuniculitremaceae","Cunninghamellaceae","Cystobasidiaceae","Cystofilobasidiaceae","Debaryomycetaceae","Diaporthaceae","Diatrypaceae","Dictyosporiaceae","Didymellaceae","Didymosphaeriaceae","Diversisporaceae","Dothideaceae","Dothideomycetes_fam_Incertae_sedis","Dothioraceae","Elsinoaceae","Entolomataceae","Entylomataceae","Eremomycetaceae","Erysiphaceae","Erythrobasidiaceae","Erythrobasidiales_fam_Incertae_sedis","Extremaceae","Filobasidiaceae","Ganodermataceae","Geastraceae","Geminibasidiaceae","Gigasporaceae","Glomeraceae","Glomerellaceae","Glomosporiaceae","Gymnoascaceae","Harpochytriaceae","Helotiaceae","Helotiales_fam_Incertae_sedis","Herpotrichiellaceae","Holtermanniales_fam_Incertae_sedis","Hyaloscyphaceae","Hydnodontaceae","Hyphodermataceae","Hypocreaceae","Hypocreales_fam_Incertae_sedis","Hyponectriaceae","Inocybaceae","Irpicaceae","Lasiosphaeriaceae","Lecanoraceae","Lentitheciaceae","Leptosphaeriaceae","Leucosporidiaceae","Lichtheimiaceae","Lophiostomataceae","Lophiotremataceae","Lycoperdaceae","Magnaporthaceae","Melanommataceae","Melanosporaceae","Meruliaceae","Metschnikowiaceae","Microascaceae","Microbotryomycetes_fam_Incertae_sedis","Microdochiaceae","Microstromataceae","Mortierellaceae","Mrakiaceae","Mucoraceae","Mycenastraceae","Mycocaliciaceae","Mycosphaerellaceae","Myrmecridiaceae","Mytilinidiales_fam_Incertae_sedis","Myxotrichaceae","Nectriaceae","Olpidiaceae","Onygenaceae","Onygenales_fam_Incertae_sedis","Ophiocordycipitaceae","Orbiliaceae","Pacisporaceae","Paradictyoarthriniaceae","Parmeliaceae","Peniophoraceae","Periconiaceae","Pezizaceae","Pezizomycotina_fam_Incertae_sedis","Phaeococcomycetaceae","Phaeomoniellaceae","Phaeosphaeriaceae","Phaeotremellaceae","Phanerochaetaceae","Phelloriniaceae","Phomatosporaceae","Physciaceae","Piskurozymaceae","Planistromellaceae","Plectosphaerellaceae","Pleomassariaceae","Pleosporaceae","Pleosporales_fam_Incertae_sedis","Pleurotaceae","Pluteaceae","Powellomycetaceae","Protomycetaceae","Psathyrellaceae","Pseudeurotiaceae","Pseudolophiotremataceae","Pterulaceae","Pyronemataceae","Rhizophlyctidaceae","Rhizophydiaceae","Rhizopodaceae","Rhynchogastremataceae","Rhytismatales_fam_Incertae_sedis","Saccharomycetaceae","Saccharomycetales_fam_Incertae_sedis","Saksenaeaceae","Schizoporaceae","Sclerotiniaceae","Sirobasidiaceae","Sordariaceae","Sordariales_fam_Incertae_sedis","Sordariomycetes_fam_Incertae_sedis","Spizellomycetaceae","Sporidiobolaceae","Sporocadaceae","Sporormiaceae","Stachybotryaceae","Stephanosporaceae","Stictidaceae","Strophariaceae","Symmetrosporaceae","Sympoventuriaceae","Syncephalastraceae","Teloschistaceae","Teratosphaeriaceae","Testudinaceae","Thelebolaceae","Thelephoraceae","Tilachlidiaceae","Torulaceae","Trechisporales_fam_Incertae_sedis","Trematosphaeriaceae","Tremellaceae","Tremellales_fam_Incertae_sedis","Trichocomaceae","Tricholomataceae","Trichomeriaceae","Trichomonascaceae","Trichosphaeriaceae","Trichosporonaceae","Trimorphomycetaceae","Tuberaceae","Tulasnellaceae","unidentified","Unknown","Ustilaginaceae","Valsaceae","Venturiaceae","Verrucariaceae","Wallemiaceae","Xylariaceae"
122,122,"4/20/21 9:19",0,1,0,1,1,-119.7465261,35.13336847,NA,NA,"AC01SN12","C","S","N",1,"C01","C01SN1","C01SN1","C01","SN","4/20/21 9:19",9,19,9.316666667,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C111","JTMR010FF",0,0,5,0,0,0,0,0,0,0,0,0,0,1342,272,0,3437,0,29,0,0,0,0,34,0,0,0,0,0,26,0,0,0,0,0,56,0,2003,0,25,0,0,0,0,247,97,0,332,0,95,0,166,0,0,0,0,0,0,407,0,1959,6119,99,0,0,0,0,292,0,0,0,0,0,0,190,0,0,0,0,366,0,0,282,26,35,0,191,10,0,0,0,0,914,0,0,0,169,0,120,22,137,0,21,0,41,0,0,0,0,0,0,0,23,0,321,0,0,0,0,179,0,0,413,1065,18,0,0,0,70,0,0,0,0,0,495,0,51,0,1408,0,0,0,0,0,6,4,9,0,7258,0,85,0,11,0,4,489,0,0,488,7,30,62,7,0,0,0,0,0,2826,0,0,3,0,53,0,0,1943,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,5588,7851,0,0,0,0,0,4
123,123,"4/20/21 9:36",0,1,1,0,1,-119.7465626,35.13333827,NA,NA,"AC01PE12","C","P","E",1,"C01","C01PE1","C01PE1","C01","PE","4/20/21 9:36",9,36,9.6,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C101","JTMR011BF",0,0,270,0,0,0,0,0,0,0,36,0,0,0,0,0,704,0,3410,0,0,0,0,11,0,0,0,0,0,385,0,0,0,0,0,0,0,1074,4,0,10,0,0,0,0,21,0,10293,0,40,0,22,0,0,56,0,0,0,0,0,1788,184,9,0,0,19,0,7,0,7,0,0,0,0,401,0,3,0,0,0,0,0,397,0,1927,0,84,24,0,0,0,0,1480,0,0,0,708,0,13,0,6,0,5,0,155,0,0,0,0,0,95,0,8,0,0,0,86,0,0,5980,0,0,109,1241,0,19,126,0,10,0,0,0,0,0,249,7,2650,0,6354,0,0,0,0,0,0,123,19,0,11117,0,0,0,0,0,0,615,0,0,0,0,0,0,296,0,0,0,0,0,655,0,0,0,181,0,0,0,1168,10,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,4,0,3,0,0,0,1400,2964,0,0,0,0,9,0
124,124,"4/20/21 11:58",0,5,1,1,1,-119.7390416,35.12009123,NA,NA,"AC05PN12","C","P","N",1,"C05","C05PN1","C05PN1","C05","PN","4/20/21 11:58",11,58,11.96666667,"Spring",NA,NA,NA,NA,NA,NA,39.31,1,0,"C511","JTMR010BG",0,0,31,0,0,52,0,0,0,0,195,2,3,1661,82,0,8987,0,43,0,0,0,23,10,0,10,0,0,0,213,0,0,0,0,0,118,0,5769,0,0,0,0,17,0,37,24,157,333,0,0,3,26,0,0,0,21,0,0,118,0,6951,2314,0,0,0,16,0,158,16,28,0,0,0,0,843,0,0,0,0,3,0,0,291,5,924,17,283,6,0,0,0,0,217,0,0,0,1432,0,66,98,20,337,0,0,9,0,0,0,0,0,8841,0,10,0,239,0,4,0,0,1948,0,0,59,214,27,81,135,14,0,0,0,0,0,5,4192,0,35,0,323,0,0,0,0,0,10,11,39,0,9877,0,0,0,47,0,19,1496,0,187,2134,188,34,0,286,0,0,32,2,0,53,0,0,0,0,5,0,0,2408,6,0,0,0,0,10,0,0,0,5,9,0,0,0,0,0,0,0,68,0,50,0,0,0,0,0,0,2690,9155,0,0,0,0,0,6
125,125,"4/20/21 12:07",0,5,0,1,1,-119.7390459,35.12011426,NA,NA,"AC05SN12","C","S","N",1,"C05","C05SN1","C05SN1","C05","SN","4/20/21 12:07",12,7,12.11666667,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C511","JTMR010AC",0,0,22,0,0,0,0,0,0,0,0,0,0,727,634,0,4788,0,11,0,0,0,0,137,0,161,0,0,0,45,0,0,0,0,0,4,0,1095,0,0,0,0,0,0,142,179,2,343,0,88,0,176,0,0,0,0,0,0,48,0,7653,1232,142,0,0,0,0,97,3,0,0,0,0,0,259,0,0,0,0,387,0,0,18,12,78,0,444,4,0,0,70,0,284,0,0,0,218,0,126,0,45,0,0,0,13,0,0,0,0,0,0,0,0,0,392,0,40,0,0,222,0,0,409,705,9,88,0,8,55,0,0,0,0,124,259,3,8,0,1814,0,0,0,0,0,36,18,0,0,6963,11,39,0,14,0,58,759,0,0,100,61,14,33,11,0,0,0,0,0,4,0,0,0,0,3,0,0,1089,11,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,183,0,0,0,0,23,0,4434,6578,0,0,0,0,0,0
126,126,"4/20/21 12:18",0,5,1,0,1,-119.7388057,35.11962447,NA,NA,"AC05PE12","C","P","E",1,"C05","C05PE1","C05PE1","C05","PE","4/20/21 12:18",12,18,12.3,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C501","JTMR011CX",0,0,0,0,5,0,0,0,0,0,0,0,7,460,7,0,1306,0,976,0,0,0,0,32,0,0,0,0,0,415,0,0,0,0,7,34,0,861,0,0,0,0,0,0,30,36,0,1517,0,21,0,84,0,0,17,0,0,0,6,0,6871,704,0,0,0,0,0,5183,0,0,0,0,0,0,126,0,4,0,0,4,0,0,16,0,498,16,236,34,0,0,0,0,93,0,0,0,741,0,0,0,6,0,0,0,9,51,0,0,0,0,96,0,19,0,0,0,62,0,0,9692,0,0,6,230,0,0,0,9,3,0,0,0,0,18,1096,0,1424,0,4943,0,0,0,0,0,0,144,232,0,11139,0,0,0,0,0,217,83,0,0,415,353,0,0,108,0,0,0,0,0,3028,0,0,0,0,0,4,0,2649,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,101,0,0,0,0,0,0,1217,16883,0,0,0,0,0,0
127,127,"4/20/21 12:30",0,5,0,0,1,-119.7387258,35.11962593,NA,NA,"AC05SE12","C","S","E",1,"C05","C05SE1","C05SE1","C05","SE","4/20/21 12:30",12,30,12.5,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C501","JTMR010DX",0,0,175,0,0,0,0,0,0,0,0,0,0,427,0,0,325,0,2103,0,0,3,0,64,0,7,0,0,0,1011,0,0,0,0,0,59,0,679,0,19,0,0,10,0,15,0,0,2996,12,8,0,64,0,0,27,17,0,0,0,0,5745,1067,0,6,0,6,0,71,11,0,0,0,0,0,1664,0,0,0,0,17,0,0,0,4,23,0,318,7,0,0,0,0,112,0,0,0,263,0,185,0,5,0,0,0,3,178,0,0,0,0,0,0,20,0,83,0,0,0,0,3804,0,0,5,353,33,0,0,0,78,0,0,0,0,0,194,0,485,0,1133,0,0,0,0,0,0,0,27,0,8366,4,0,0,0,0,4,0,0,0,214,0,12,6,76,0,0,0,0,0,2629,0,0,0,0,2,0,0,10379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0,2078,15873,0,0,0,0,0,0
129,129,"4/20/21 15:06",0,8,1,0,1,-119.7303208,35.11330633,NA,NA,"AC08PE12","C","P","E",1,"C08","C08PE1","C08PE1","C08","PE","4/20/21 15:06",15,6,15.1,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C801","JTMR010BD",0,0,40,0,189,8,0,0,0,0,26,0,39,643,10,0,1312,0,148,0,0,0,12,120,0,0,0,0,0,1045,0,0,0,0,21,58,0,878,0,0,0,0,48,0,0,85,9,1440,0,35,30,0,0,0,7,0,0,0,13,8,1414,268,0,4,0,0,0,0,0,36,0,0,0,0,1221,0,0,4,0,0,0,0,261,0,310,5,120,0,0,0,0,0,337,0,0,0,5883,0,18,0,2,0,0,0,17,0,0,0,0,0,1364,0,41,0,262,0,38,0,0,5080,0,0,104,349,0,324,18,29,9,0,0,0,0,0,207,0,65,0,437,0,0,0,0,0,18,0,41,0,13410,0,0,0,195,0,289,418,0,0,37,92,4,0,147,0,0,0,0,0,6,0,0,0,51,125,245,0,7322,0,58,0,0,0,5,0,0,0,6,0,0,0,0,0,0,0,0,16,0,35,0,0,0,0,0,0,1341,4861,0,0,0,0,0,0
130,130,"4/20/21 15:12",0,8,0,0,1,-119.7303044,35.11333615,NA,NA,"AC08SE12","C","S","E",1,"C08","C08SE1","C08SE1","C08","SE","4/20/21 15:12",15,12,15.2,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C801","JTMR011P",0,0,107,0,0,0,0,0,0,0,0,0,0,132,0,0,2411,0,304,0,0,0,0,79,0,0,0,0,0,29,0,0,0,0,0,50,0,86,0,0,0,0,0,0,4,34,0,21070,0,153,0,0,0,0,0,0,0,0,13,0,596,3117,28,0,0,0,0,0,0,0,0,0,0,0,890,0,0,158,0,140,0,0,0,0,29,46,32,0,0,0,0,0,12,0,0,0,35,0,86,0,0,0,0,0,19,0,0,0,0,0,0,0,40,0,0,0,0,0,0,246,0,0,2,188,0,15,0,0,40,0,0,0,0,27,338,0,436,0,10514,0,0,0,0,0,0,60,0,0,8519,8,0,0,0,0,9,0,0,0,199,0,0,13,0,0,0,0,0,0,1231,0,0,20,0,0,0,0,3451,0,58,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,971,4604,0,0,0,0,0,0
131,131,"4/20/21 16:02",0,7,0,1,1,-119.7328044,35.10881524,NA,NA,"AC07SN12","C","S","N",1,"C07","C07SN1","C07SN1","C07","SN","4/20/21 16:02",16,2,16.03333333,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C711","JTMR011EL",0,0,0,0,0,0,0,0,0,0,0,0,0,355,52,0,1622,0,59,0,0,0,0,0,0,0,0,0,0,247,0,0,0,0,0,58,0,100,0,12,0,0,5,0,3,0,4,3989,0,0,0,40,0,0,0,0,0,3,311,0,3999,1710,31,6,0,0,0,0,0,0,0,0,0,0,183,0,0,0,0,275,0,0,0,0,281,0,479,0,0,0,38,0,27,0,0,0,80,0,40,0,25,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,929,0,0,16,172,0,21,0,0,46,0,0,0,0,0,2819,0,1191,0,760,0,0,0,0,0,0,29,14,0,18322,0,51,0,0,0,23,22,0,0,654,17,0,0,174,0,0,0,0,0,293,0,0,9,0,0,0,0,1814,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,729,0,0,0,0,175,0,1357,5811,0,0,0,0,0,0
132,132,"4/20/21 16:26",0,7,1,0,1,-119.7322054,35.10828516,NA,NA,"AC07PE12","C","P","E",1,"C07","C07PE1","C07PE1","C07","PE","4/20/21 16:26",16,26,16.43333333,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C701","JTMR010BW",0,0,2825,0,38,34,0,0,0,0,0,0,0,763,0,0,2573,0,232,0,0,0,114,53,0,0,0,0,0,47,0,0,0,0,0,57,0,1434,7,0,11,0,0,0,0,132,41,1823,0,272,0,0,0,0,15,31,0,0,106,0,3143,278,7,0,0,0,0,76,0,0,0,0,0,0,307,0,0,0,0,22,0,0,237,0,239,28,252,0,0,0,0,0,292,0,0,0,2123,0,29,4,59,0,0,0,67,0,0,0,0,0,310,0,219,0,565,0,50,0,0,1266,0,0,245,930,74,45,14,0,28,0,0,0,0,0,219,0,94,0,512,0,6,0,0,0,168,38,534,0,10748,0,0,0,57,0,9,998,0,0,399,45,76,0,83,0,0,0,0,0,0,0,0,0,187,58,0,0,893,0,111,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,16,5,106,0,0,0,0,0,0,1869,4078,0,0,0,0,0,7
134,134,"4/20/21 9:33",0,1,0,0,1,-119.7461097,35.13267475,NA,NA,"AC01SE12","C","S","E",1,"C01","C01SE1","C01SE1","C01","SE","4/20/21 9:33",9,33,9.55,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C101","JTMR010CG",0,0,3,0,0,18,0,0,0,0,0,0,0,547,0,0,2572,0,31,0,0,0,0,20,0,0,0,0,0,223,0,0,0,0,0,68,0,2225,0,0,0,0,0,9,0,2,0,306,0,2345,0,517,0,0,0,29,0,0,0,0,16797,155,0,0,0,0,0,14,0,0,0,0,0,0,230,0,0,0,0,95,0,0,131,25,1172,0,44,11,0,0,0,0,363,0,0,0,248,0,21,57,28,0,41,0,53,0,0,0,0,0,25,0,0,0,209,0,51,0,0,1973,0,0,8,550,19,0,0,0,210,0,0,0,0,0,2267,0,42,0,1203,0,0,0,0,0,102,0,33,0,13174,0,16,0,7,0,0,197,0,0,230,185,52,0,37,0,0,0,0,0,0,0,9,0,0,20,0,0,458,71,254,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,82,0,3436,4169,0,0,0,0,0,0
137,137,"4/20/21 13:35",0,6,0,1,1,-119.7484989,35.11545547,NA,NA,"AC06SN12","C","S","N",1,"C06","C06SN1","C06SN1","C06","SN","4/20/21 13:35",13,35,13.58333333,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C611","JTMR011EQ",0,0,30,0,0,12,0,0,0,0,0,10,0,3116,0,0,3351,0,179,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,16,0,1099,0,5,0,0,0,152,0,0,0,314,0,17,0,149,0,0,0,0,0,0,250,0,6177,783,24,0,0,0,0,38,0,0,0,0,16,0,458,0,0,0,0,44,0,0,1350,0,0,0,156,0,0,0,10,0,133,0,0,0,296,0,193,0,69,0,0,0,281,0,0,0,0,0,12,0,88,0,0,0,0,0,0,205,0,0,38,68,0,20,0,0,179,0,0,0,0,0,5547,0,192,0,749,0,0,0,0,0,0,24,0,0,8539,10,10,0,0,0,6,303,0,0,292,149,0,17,44,0,0,0,0,0,0,0,0,0,0,0,0,0,6220,12,0,0,0,0,0,14,0,0,0,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,0,2973,11484,0,0,0,0,0,0
138,138,"4/20/21 13:40",0,6,1,1,1,-119.7481216,35.08300489,NA,NA,"AC06PN12","C","P","N",1,"C06","C06PN1","C06PN1","C06","PN","4/20/21 13:40",13,40,13.66666667,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C611","JTMR011BY",0,0,60,0,4,46,0,0,0,0,0,0,0,1903,0,0,227,0,329,0,0,0,0,0,0,0,0,0,0,361,0,0,0,0,0,645,0,3350,0,6,0,0,0,0,0,0,6,182,0,0,0,67,0,0,0,0,0,0,34,0,14121,399,0,12,0,0,0,3,0,0,0,0,0,0,81,0,0,0,0,0,0,0,11,0,1406,0,69,5,0,0,0,0,124,0,20,0,1394,0,25,59,20,5,0,0,34,0,0,0,0,0,21,0,13,0,0,0,0,0,0,6201,0,0,14,184,0,0,0,0,0,0,0,0,0,0,2270,0,157,0,260,0,0,0,0,0,0,73,245,0,11728,0,0,0,0,0,129,49,0,126,1884,571,0,3,598,0,0,0,0,0,0,0,0,0,0,0,0,0,2045,15,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,29,0,0,0,10,0,0,881,10829,0,0,0,0,0,0
139,139,"4/20/21 13:55",0,6,0,0,1,-119.7480654,35.11496663,NA,NA,"AC06SE12","C","S","E",1,"C06","C06SE1","C06SE1","C06","SE","4/20/21 13:55",13,55,13.91666667,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C601","JTMR011ET",0,0,6,0,0,4,0,0,0,0,39,0,0,671,4,0,5893,0,32,0,0,0,0,0,0,5,0,0,0,37,0,0,0,0,0,0,0,217,0,6,0,0,0,0,0,0,0,4432,0,29,0,158,0,0,0,0,0,0,13,0,35262,182,0,0,0,18,0,143,0,0,0,0,0,0,255,0,0,0,0,13,0,0,138,0,5,0,336,0,0,0,0,0,6,0,0,0,49,0,0,0,16,0,38,0,40,0,0,0,0,0,0,0,701,0,0,0,0,0,0,1650,0,0,0,122,0,0,0,0,284,0,0,0,0,68,3619,0,0,0,246,0,0,0,0,0,0,0,60,0,6773,0,85,0,0,0,0,74,0,0,318,13,0,43,151,0,0,0,0,0,156,0,0,0,0,3,0,0,793,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267,0,0,0,0,0,0,4075,3066,0,0,0,0,0,0
140,140,"4/20/21 14:46",0,8,1,1,1,-119.7311212,35.11667308,NA,NA,"AC08PN12","C","P","N",1,"C08","C08PN1","C08PN1","C08","PN","4/20/21 14:46",14,46,14.76666667,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C811","JTMR011BS",0,0,0,0,34,0,0,0,0,0,161,0,22,3755,0,0,4356,0,5,0,0,0,131,24,0,0,0,0,0,118,0,0,0,0,11,0,0,3810,0,0,0,0,0,0,0,69,154,93,0,10,0,0,0,0,0,0,0,0,17,0,16197,889,0,0,3,0,0,239,0,0,0,0,0,0,109,0,0,0,0,58,0,0,283,0,165,0,72,0,0,0,0,0,591,0,0,0,887,0,67,13,76,38,0,0,0,0,0,0,0,0,1379,0,0,0,0,0,53,0,0,605,0,0,158,90,0,14,321,0,9,0,0,0,0,0,605,0,0,0,77,0,0,0,0,0,0,0,44,0,9174,0,0,0,0,0,175,2247,0,0,868,59,0,0,201,0,0,0,0,0,127,0,0,0,0,0,6,0,2662,0,0,0,0,0,6,0,0,0,0,7,0,0,0,0,0,0,0,40,0,19,0,0,0,0,0,0,395,4215,0,0,0,0,0,22
141,141,"4/21/21 8:25",1,6,1,1,1,-119.6600529,35.08097156,NA,NA,"AS06PN12","S","P","N",1,"S06","S06PN1","S06PN1","S06","PN","4/21/21 8:25",8,25,8.416666667,"Spring",NA,NA,NA,34.92,37.33,35.7,36.35,4,1,"S611","JTMR011EE",0,0,10,0,573,0,0,0,0,0,492,0,0,225,0,0,6035,0,87,0,0,0,16,5,0,0,0,0,0,30,0,0,0,0,72,226,0,3622,0,4,0,0,0,29,0,0,490,0,0,0,0,0,0,0,0,0,0,0,28,0,5881,78,0,14,0,0,0,0,0,60,0,0,0,0,18,0,0,0,0,0,0,0,754,0,35,0,179,0,0,0,0,0,681,0,0,0,3914,0,19,0,4,293,0,0,0,0,0,0,0,0,2831,0,0,0,0,0,0,0,0,6126,0,0,368,50,0,43,158,0,0,0,0,0,0,0,72,17,11,0,269,0,0,0,0,0,0,0,34,0,19525,0,0,0,0,0,56,2535,0,0,527,0,0,21,29,0,0,7,0,0,0,0,0,0,0,0,0,0,2435,5,0,0,0,0,117,0,0,0,78,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,634,2723,0,0,0,0,0,74
142,142,"4/21/21 8:36",1,6,0,1,1,-119.6600839,35.08096151,NA,NA,"AS06SN12","S","S","N",1,"S06","S06SN1","S06SN1","S06","SN","4/21/21 8:36",8,36,8.6,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S611","JTMR010BU",0,0,10,0,0,0,0,0,0,0,0,0,0,490,141,0,1833,0,105,0,0,0,0,0,0,6,0,0,0,57,0,0,0,0,0,69,0,295,0,29,0,0,8,0,30,0,0,394,0,0,0,164,0,0,0,0,0,0,700,0,6090,810,182,0,0,0,0,33,0,0,0,0,0,0,491,0,0,3,0,1350,0,0,275,24,0,0,279,0,0,0,0,0,28,0,0,0,49,0,269,287,0,0,0,0,30,0,0,0,0,0,0,0,862,0,422,0,0,0,0,99,0,0,55,128,47,4,0,0,139,0,0,0,0,0,819,0,447,0,3473,0,0,0,0,0,39,0,0,0,8550,0,692,0,25,0,4,0,0,0,759,16,13,0,62,0,0,0,0,0,1084,0,0,0,0,0,0,0,947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,3852,4722,0,0,0,0,0,0
144,144,"4/21/21 8:57",1,6,1,0,1,-119.6595725,35.0814153,NA,NA,"AS06PE12","S","P","E",1,"S06","S06PE1","S06PE1","S06","PE","4/21/21 8:57",8,57,8.95,"Spring",NA,NA,NA,33.21,34.85,34.23,35.7,4,1,"S601","JTMR011CY",0,0,14,0,46,0,0,0,0,0,18,0,15,1995,14,0,11403,0,18,0,0,0,0,0,0,14,0,0,0,41,0,0,0,0,2,0,0,5052,0,1314,0,0,7,0,0,192,167,4129,0,20,0,0,0,0,7,0,0,0,96,0,17578,2375,0,0,0,9,0,464,0,52,39,0,0,0,832,0,23,0,0,0,0,0,1045,0,73,310,916,0,0,0,0,0,165,0,0,0,1347,0,8,0,22,28,0,0,0,0,0,0,0,0,794,0,17,0,0,0,123,0,0,502,0,0,531,1277,0,177,130,6,0,0,0,0,0,70,1817,0,9,0,291,0,0,0,0,0,0,0,1426,0,12475,167,0,0,0,0,5,3502,0,0,629,166,0,44,60,0,0,0,0,0,676,0,0,0,0,0,0,0,1150,15,0,0,0,0,24,0,0,0,105,7,0,3,0,0,0,0,0,675,0,984,3,0,0,0,0,0,3130,2903,0,0,0,0,0,159
145,145,"4/21/21 9:06",1,6,0,0,1,-119.659586,35.08134149,NA,NA,"AS06SE12","S","S","E",1,"S06","S06SE1","S06SE1","S06","SE","4/21/21 9:06",9,6,9.1,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S601","JTMR011BL",0,0,54,0,0,0,0,0,0,0,0,3,0,137,0,0,4720,0,153,0,0,0,0,0,0,49,0,0,0,7,0,0,0,0,0,43,0,870,0,143,0,0,0,0,0,0,0,18723,0,0,0,0,0,0,0,0,0,0,340,25,5059,260,4,0,0,4,0,0,0,0,0,0,0,0,402,0,0,0,0,107,0,0,370,0,0,0,148,0,0,0,0,0,4,0,0,0,87,0,699,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,465,0,0,30,1501,0,0,0,0,265,0,0,0,0,0,1185,0,2470,0,8093,0,0,0,0,0,0,343,0,0,7910,0,31,0,0,0,20,204,0,0,484,0,0,0,82,0,0,0,0,0,366,0,0,0,0,0,0,0,494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0,0,0,0,8,0,0,0,0,14,0,1745,5682,0,0,0,0,0,0
