"X.1","X","date_time_samp","site","plot_num","treatment","exclosure","paired","longitude","latitude","man_long","man_lat","barcode","sample_num","veg_type","veg_level","vwc","period","soil_temp","pH","siteX","treatmentX","exclosureX","pairedX","plot","cluster","clusterBC","plotBC","factorial","veg_type_med","veg_level_med","vwc_med","period_med","soil_temp_med","pH_med","Date","hour","minute","time","season","notes_cluster","number","year","CT1","CT2","CT3","CT4","Ct_detects","positive","cluster_pair","Library_Name","Acarosporales","Acrospermales","Agaricales","Agaricostilbales","Archaeosporales","Atheliales","Auriculariales","Basidiobolales","Boliniales","Botryosphaeriales","Caliciales","Candelariales","Cantharellales","Capnodiales","Chaetosphaeriales","Chaetothyriales","Chytridiales","Coniochaetales","Corticiales","Cystobasidiales","Cystobasidiomycetes_ord_Incertae_sedis","Cystofilobasidiales","Diaporthales","Diversisporales","Dothideales","Dothideomycetes_ord_Incertae_sedis","Entorrhizales","Entylomatales","Erysiphales","Erythrobasidiales","Eurotiales","Filobasidiales","Geastrales","Geminibasidiales","Gigasporales","Glomerales","Glomerellales","GS05","GS11","Harpochytriales","Helotiales","Holtermanniales","Hymenochaetales","Hypocreales","Lecanorales","Leucosporidiales","Lichenostigmatales","Lobulomycetales","Magnaporthales","Melanosporales","Microascales","Microbotryomycetes_ord_Incertae_sedis","Microstromatales","Microthyriales","Mortierellales","Mucorales","Mycocaliciales","Myriangiales","Myrmecridiales","Mytilinidiales","Olpidiales","Onygenales","Orbiliales","Ostropales","Pezizales","Pezizomycotina_ord_Incertae_sedis","Phaeomoniellales","Phomatosporales","Platygloeales","Pleosporales","Polyporales","Rhizophlyctidales","Rhizophydiales","Rhytismatales","Russulales","Saccharomycetales","Sebacinales","Sordariales","Sordariomycetes_ord_Incertae_sedis","Spizellomycetales","Sporidiobolales","Taphrinales","Teloschistales","Thelebolales","Thelephorales","Trechisporales","Tremellales","Tremellodendropsidales","Trichosphaeriales","Trichosporonales","Tubeufiales","Umbelopsidales","unidentified","unspecified_Agaricomycetes","unspecified_Ascomycota","unspecified_Basidiobolomycota","unspecified_Basidiomycota","unspecified_Chytridiomycota","unspecified_Cystobasidiomycetes","unspecified_Dothideomycetes","unspecified_Eurotiomycetes","unspecified_Fungi","unspecified_Glomeromycota","unspecified_Leotiomycetes","unspecified_Microbotryomycetes","unspecified_Orbiliomycetes","unspecified_Sordariomycetes","unspecified_Tremellomycetes","Urocystidales","Ustilaginales","Venturiales","Verrucariales","Wallemiales","Xylariales"
25,25,"4/20/21 12:07",0,5,0,1,1,-119.7390459,35.12011426,NA,NA,"AC05SN11",1,0,0,5.4,1.171,70,NA,"C","S","N",1,"C05","C05SN1","C05SN1","C05","SN",0,0,5.4,1.172,70,NA,"4/20/21 12:07",12,7,12.11666667,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C511","JTMR010BS",0,0,336,0,0,0,0,6,0,0,0,0,69,363,0,1728,0,417,0,0,0,166,0,260,0,0,69,0,0,0,3249,238,0,0,0,611,0,0,0,78,575,0,0,930,0,148,0,10,0,0,7,0,0,0,264,9,0,0,0,0,37,83,1047,0,2988,0,0,0,0,17111,0,75,45,0,0,0,0,1767,0,179,0,0,0,114,0,0,48,0,0,0,0,0,194,151,879,19,0,0,0,0,0,1203,0,107,0,0,0,0,0,0,0,0,0,135
26,26,"4/20/21 12:18",0,5,1,0,1,-119.7388057,35.11962447,NA,NA,"AC05PE11",1,1,2,4.8,1.157,72,NA,"C","P","E",1,"C05","C05PE1","C05PE1","C05","PE",1,2,2.95,1.119,73,NA,"4/20/21 12:18",12,18,12.3,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C501","JTMR010DP",0,0,615,0,0,0,45,0,0,141,0,0,251,3500,0,590,25,7165,9,7,0,11,0,12,1068,0,0,25,0,0,2455,456,0,0,0,0,21,0,0,0,684,5,0,1486,0,7,1678,0,0,0,169,0,0,0,236,7,0,0,0,0,0,410,44,0,2188,0,0,0,0,25830,10,41,33,0,0,0,0,994,0,25,0,0,0,1863,0,0,437,0,0,0,0,0,289,18,4214,0,87,6,0,15,0,967,0,178,0,0,9,33,19,0,7,0,0,24
27,27,"4/20/21 12:30",0,5,0,0,1,-119.7387258,35.11962593,NA,NA,"AC05SE11",1,1,2,6.1,1.184,72,NA,"C","S","E",1,"C05","C05SE1","C05SE1","C05","SE",1,2,5.8,1.181,74,NA,"4/20/21 12:30",12,30,12.5,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C501","JTMR010CM",0,0,2890,0,0,0,0,0,0,248,0,0,102,2117,0,685,9,461,0,9,2,5,47,75,880,0,0,0,0,0,1139,500,0,0,0,299,233,0,0,9,904,0,0,1711,0,7,1258,0,128,0,0,4,2,0,289,0,0,0,0,0,10,0,1211,0,1041,0,0,0,0,42153,5,8,19,0,0,0,0,4837,3,41,0,0,0,0,0,0,268,0,0,0,0,0,255,161,241,0,54,17,0,62,0,1940,0,0,0,0,16,74,0,0,5,0,0,6
29,29,"4/20/21 15:06",0,8,1,0,1,-119.7303208,35.11330633,NA,NA,"AC08PE11",1,1,2,NA,NA,82,NA,"C","P","E",1,"C08","C08PE1","C08PE1","C08","PE",1,2,NA,NA,76,NA,"4/20/21 15:06",15,6,15.1,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C801","JTMR011CJ",0,0,605,0,0,0,1638,0,0,0,0,0,0,4471,0,188,0,648,0,0,0,0,0,0,808,0,0,0,0,0,710,287,0,0,0,0,0,0,0,0,339,7,0,793,0,0,123,0,0,0,8,0,0,0,0,18,0,0,0,0,0,205,51,0,2149,0,0,0,0,41290,0,38,0,0,0,0,0,13393,47,46,28,0,0,190,0,0,620,0,0,0,0,0,44,0,180,0,0,0,0,0,0,1220,0,26,0,0,0,0,0,0,0,0,0,24
30,30,"4/20/21 15:12",0,8,0,0,1,-119.7303044,35.11333615,NA,NA,"AC08SE11",1,1,1,NA,NA,80,NA,"C","S","E",1,"C08","C08SE1","C08SE1","C08","SE",1,1,NA,NA,80,NA,"4/20/21 15:12",15,12,15.2,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C801","JTMR010BL",0,0,228,0,0,0,0,0,0,1232,0,0,130,1520,0,1314,83,3028,344,41,0,0,0,53,267,0,0,0,0,13,3275,728,0,17,0,145,10,0,0,6,287,6,0,732,0,0,170,0,0,0,11,0,0,0,155,37,0,0,0,0,37,101,978,0,808,0,0,0,0,28887,0,22,14,0,0,0,0,4496,0,227,0,0,0,55,0,0,650,0,0,0,0,0,325,90,590,3,22,200,0,29,0,2626,0,0,0,0,83,61,0,0,8,0,0,32
31,31,"4/20/21 16:02",0,7,0,1,1,-119.7328044,35.10881524,NA,NA,"AC07SN11",1,0,0,NA,NA,83,NA,"C","S","N",1,"C07","C07SN1","C07SN1","C07","SN",0,0,NA,NA,86,NA,"4/20/21 16:02",16,2,16.03333333,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C711","JTMR011DL",0,0,1222,0,0,0,0,0,0,15,0,0,301,389,0,1891,8,912,0,7,0,0,0,261,49,0,0,0,0,0,5340,525,0,13,0,577,12,0,0,0,1659,0,0,1056,0,0,70,0,0,0,3,0,0,0,0,233,0,0,0,0,0,23,5221,0,5458,0,0,0,0,32123,9,109,0,0,0,0,0,1350,0,40,0,0,0,1054,0,0,534,0,0,0,24,0,469,814,2344,0,0,26,0,2,0,2610,0,228,0,0,228,0,0,0,0,0,0,605
32,32,"4/20/21 16:26",0,7,1,0,1,-119.7322054,35.10828516,NA,NA,"AC07PE11",1,1,3,NA,NA,75,NA,"C","P","E",1,"C07","C07PE1","C07PE1","C07","PE",1,3,NA,NA,75,NA,"4/20/21 16:26",16,26,16.43333333,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C701","JTMR011EW",0,0,507,0,0,0,0,0,0,0,0,0,0,2405,0,580,0,3735,0,0,0,0,0,43,250,0,0,0,0,0,2384,80,0,0,0,151,50,0,70,0,417,0,0,3362,0,26,86,0,0,0,80,0,0,4,0,85,0,0,0,0,0,577,208,0,641,0,0,0,0,29171,0,210,0,0,0,0,0,3464,192,31,0,0,0,108,0,0,219,7,0,0,0,0,212,0,218,0,0,0,0,894,0,95,0,13,0,0,93,0,0,0,0,0,31,586
34,34,"4/20/21 9:33",0,1,0,0,1,-119.7461097,35.13267475,NA,NA,"AC01SE11",1,1,1,15.4,1.344,75,NA,"C","S","E",1,"C01","C01SE1","C01SE1","C01","SE",1,1,14.4,1.338,74,NA,"4/20/21 9:33",9,33,9.55,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C101","JTMR011DX",0,0,21550,0,0,0,0,0,0,5,0,0,42,1014,0,1671,0,583,0,0,0,0,86,0,171,0,0,0,0,0,727,45,0,0,0,46,13,0,0,0,690,77,0,6525,0,28,293,0,41,0,0,0,0,0,0,0,0,0,0,0,0,224,410,0,881,0,0,0,0,24114,0,13,0,0,0,0,0,1148,0,0,0,0,0,74,0,0,219,0,0,0,0,0,40,0,427,0,13,0,0,62,12,542,0,0,0,0,46,0,0,0,0,0,0,0
37,37,"4/20/21 13:35",0,6,0,1,1,-119.7484989,35.11545547,NA,NA,"AC06SN11",1,1,2,13.4,1.309,85,NA,"C","S","N",1,"C06","C06SN1","C06SN1","C06","SN",1,1,11.2,1.273,85,NA,"4/20/21 13:35",13,35,13.58333333,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C611","JTMR011CA",0,0,880,0,0,0,0,0,0,36,0,0,327,932,0,1695,0,4625,0,0,0,0,9,54,55,0,0,0,0,0,1808,213,0,0,0,78,0,0,0,0,353,0,0,3368,0,22,97,0,24,0,16,0,0,0,0,52,0,0,0,0,0,648,1246,0,4894,0,0,0,0,27467,12,47,6,0,0,0,0,2826,0,141,0,0,0,178,0,0,110,0,0,0,0,0,250,0,952,10,0,0,0,10,0,531,0,60,0,0,64,0,0,0,0,0,0,754
38,38,"4/20/21 13:40",0,6,1,1,1,-119.7481216,35.08300489,NA,NA,"AC06PN11",1,1,2,9.7,1.248,88,NA,"C","P","N",1,"C06","C06PN1","C06PN1","C06","PN",1,3,8.9,1.239,83,NA,"4/20/21 13:40",13,40,13.66666667,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C611","JTMR010AN",0,0,6040,0,0,0,0,0,0,99,0,0,275,12125,0,408,0,90,0,0,0,60,8,0,428,0,0,0,0,0,375,1204,0,0,0,0,20,0,0,0,2559,10,0,1606,0,34,246,0,0,0,23,0,0,0,635,21,0,0,0,0,3,84,41,0,9072,0,0,0,0,27456,0,379,28,0,0,0,0,4948,0,179,0,0,0,224,0,0,854,0,0,4,0,0,2134,70,114,0,17,38,0,92,0,6317,0,0,0,0,0,25,0,0,4,0,0,5
39,39,"4/20/21 13:55",0,6,0,0,1,-119.7480654,35.11496663,NA,NA,"AC06SE11",1,1,1,9.7,1.258,77,NA,"C","S","E",1,"C06","C06SE1","C06SE1","C06","SE",1,1,7.1,1.197,75,NA,"4/20/21 13:55",13,55,13.91666667,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C601","JTMR011I",0,0,77,0,0,0,0,0,0,0,0,0,31,769,0,1630,0,5845,0,0,0,0,277,16,104,0,0,0,0,0,5172,819,0,0,0,18,52,0,0,0,983,3,0,10676,0,19,0,0,17,0,0,0,0,0,0,137,0,0,0,0,0,490,155,0,4643,0,0,0,28,37513,0,121,44,0,0,0,0,1257,0,37,0,0,0,172,0,0,248,0,0,0,0,0,46,42,568,10,0,0,0,0,0,856,0,49,0,0,0,0,0,0,0,0,0,452
40,40,"4/20/21 14:46",0,8,1,1,1,-119.7311212,35.11667308,NA,NA,"AC08PN11",1,1,1,3.1,1.12,89,NA,"C","P","N",1,"C08","C08PN1","C08PN1","C08","PN",1,2,3.1,1.12,86,NA,"4/20/21 14:46",14,46,14.76666667,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C811","JTMR010E",0,0,164,0,0,0,0,0,0,0,0,0,40,5669,0,430,222,213,12,0,0,77,0,0,111,6,0,110,0,0,16156,1989,0,3,0,3,696,0,0,0,131,14,0,1945,0,30,29,0,0,0,1337,0,0,0,1499,622,0,0,0,0,42,1682,86,0,8155,0,0,0,9,27720,0,420,50,0,0,0,0,10416,0,642,0,0,0,3367,0,0,742,0,0,0,0,0,601,168,621,7,0,482,3,6,0,1269,0,49,0,0,39,16,0,3,0,0,0,114
41,41,"4/21/21 8:25",1,6,1,1,1,-119.6600529,35.08097156,NA,NA,"AS06PN11",1,1,1,NA,NA,59,NA,"S","P","N",1,"S06","S06PN1","S06PN1","S06","PN",1,1,NA,NA,59,NA,"4/21/21 8:25",8,25,8.416666667,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S611","JTMR010AK",0,0,1163,0,0,0,0,0,0,0,0,0,167,5027,0,1054,189,673,0,0,0,3,0,0,71,11,12,4,0,0,1199,2191,0,11,0,88,16,0,0,6,457,0,0,387,0,0,17,0,0,0,722,0,0,0,353,65,0,0,2,0,12,1115,85,0,10662,13,0,0,0,26401,0,61,25,0,2,0,0,4121,0,411,0,0,0,844,0,0,557,0,0,0,0,0,2586,562,898,0,0,86,0,0,0,1747,0,176,0,0,21,21,0,0,0,0,0,641
42,42,"4/21/21 8:36",1,6,0,1,1,-119.6600839,35.08096151,NA,NA,"AS06SN11",1,1,1,NA,NA,62,NA,"S","S","N",1,"S06","S06SN1","S06SN1","S06","SN",1,1,NA,NA,60,NA,"4/21/21 8:36",8,36,8.6,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S611","JTMR010AH",0,0,9185,0,0,0,0,0,0,0,0,0,31,175,0,1073,0,4016,0,0,0,11,0,55,104,24,0,0,0,0,4474,323,99,0,0,174,0,0,0,9,6237,0,0,258,0,3,177,0,0,0,158,0,0,0,385,0,0,0,0,0,6,976,37,0,1527,0,0,0,0,25009,0,38,22,0,0,0,0,1276,5,141,0,0,0,1209,0,0,82,0,0,0,0,0,163,9218,404,0,0,0,0,61,0,671,0,647,0,0,8,0,0,0,17,0,0,996
44,44,"4/21/21 8:57",1,6,1,0,1,-119.6595725,35.0814153,NA,NA,"AS06PE11",1,0,0,NA,NA,62,NA,"S","P","E",1,"S06","S06PE1","S06PE1","S06","PE",0,0,NA,NA,61,NA,"4/21/21 8:57",8,57,8.95,"Spring",NA,NA,NA,33.31,33.86,34.48,34.23,4,1,"S601","JTMR010BX",0,0,662,0,0,0,0,0,0,30,0,0,51,489,0,259,0,326,0,0,0,0,0,0,19,21,0,0,0,0,12417,495,18,7,0,0,1226,0,0,0,517,0,0,1742,0,4,0,0,0,0,595,0,0,0,385,87,0,0,0,0,0,1076,14,0,1902,0,0,0,0,14613,0,195,17,0,0,0,0,3681,0,111,0,0,0,1256,0,0,326,0,0,0,0,0,205,130,407,0,0,193,0,0,12,469,0,59,0,0,0,96,0,0,0,0,0,255
45,45,"4/21/21 9:06",1,6,0,0,1,-119.659586,35.08134149,NA,NA,"AS06SE11",1,1,1,NA,NA,63,NA,"S","S","E",1,"S06","S06SE1","S06SE1","S06","SE",1,1,NA,NA,69,NA,"4/21/21 9:06",9,6,9.1,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S601","JTMR010DE",0,0,289,0,0,0,0,0,0,310,0,0,63,393,0,733,0,1170,0,0,0,0,0,9,547,11,0,0,0,0,8318,237,0,0,0,302,3,0,0,12,14777,0,0,820,0,0,152,0,0,0,0,0,0,0,841,0,0,0,0,0,0,14,75,0,2872,0,0,0,0,39366,0,0,0,0,0,0,0,359,0,58,0,0,0,56,0,0,74,0,0,0,0,0,117,97,698,0,6,0,0,82,0,748,0,0,0,0,64,46,0,0,0,0,0,311
46,46,"4/21/21 10:04",0,2,1,1,1,-119.7284223,35.1303838,NA,NA,"AC02SN11",1,1,2,NA,NA,62,NA,"C","P","N",1,"C02","C02PN1","C02SN1","C02","PN",1,2,NA,NA,62,NA,"4/21/21 10:04",10,4,10.06666667,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C211","JTMR010AO",0,0,702,0,9,0,0,0,0,10,6,0,59,981,0,1885,17,1381,0,0,0,26,179,0,45,23,0,0,0,12,4098,468,0,0,0,494,23,0,0,8,1167,0,0,673,0,71,217,0,546,0,299,0,0,0,777,99,0,0,0,0,19,1650,721,0,3652,0,0,0,0,15848,0,80,49,0,0,0,0,6451,0,423,0,0,0,1293,0,33,251,0,7,0,0,0,371,372,2011,12,13,16,0,152,0,890,0,570,0,0,0,19,0,0,0,0,0,100
47,47,"4/21/21 10:21",0,2,0,1,1,-119.72299,35.13051497,NA,NA,"AC02PN11",1,1,1,NA,NA,68,NA,"C","S","N",1,"C02","C02SN1","C02PN1","C02","SN",0,0,NA,NA,66,NA,"4/21/21 10:21",10,21,10.35,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C211","JTMR010EN",0,0,2648,0,0,0,0,0,0,6,0,0,295,4411,0,1034,12,276,45,0,0,45,0,0,48,5,0,0,0,0,2717,1094,0,0,0,0,71,0,0,0,3308,0,0,828,0,10,11,0,0,0,32,0,0,0,351,42,0,0,0,0,16,173,95,0,6349,0,0,0,0,36758,0,297,20,0,0,0,0,21656,0,525,0,0,0,1252,0,0,528,1254,0,16,0,0,781,247,512,21,0,186,0,40,0,3781,0,0,0,0,10,93,0,0,359,0,7,91
48,48,"4/21/21 10:41",0,2,0,0,1,-119.7226716,35.13090319,NA,NA,"AC02SE11",1,1,2,NA,NA,69,NA,"C","S","E",1,"C02","C02SE1","C02SE1","C02","SE",1,2,NA,NA,70,NA,"4/21/21 10:41",10,41,10.68333333,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C201","JTMR011BN",0,0,950,0,0,0,0,0,0,14,0,0,5,3075,0,1715,0,4629,0,5,0,0,87,530,388,15,0,0,0,0,2642,135,6,0,0,184,32,0,0,0,475,6,0,849,0,18,148,0,419,0,0,0,0,0,0,0,0,0,0,0,0,1568,1326,0,1547,0,0,0,0,25598,8,26,0,0,0,0,0,2447,0,9,0,0,0,68,0,0,151,0,0,0,0,0,78,0,1481,3,0,0,0,63,0,1156,0,26,0,0,61,0,0,0,13,0,0,661
50,50,"4/21/21 11:54",0,4,1,0,1,-119.7249263,35.12218561,NA,NA,"AC04PE11",1,1,3,NA,NA,74,NA,"C","P","E",1,"C04","C04PE1","C04PE1","C04","PE",1,3,NA,NA,70.5,NA,"4/21/21 11:54",11,54,11.9,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C401","JTMR011EZ",4,0,1045,76,0,0,0,0,0,66,0,0,0,13165,0,1370,0,139,0,26,0,0,30,36,526,0,0,0,0,5,2672,31,0,0,0,0,9,0,0,0,273,0,0,1663,0,5,2571,0,0,0,281,0,0,3,0,62,0,2,0,0,0,1302,577,0,626,0,0,0,0,19991,0,16,0,0,0,0,0,12417,26,24,0,0,0,524,0,0,590,0,0,0,0,0,152,0,919,0,0,0,0,11,0,151,68,115,0,0,226,0,0,0,0,0,24,43
51,51,"4/21/21 12:14",0,4,0,0,1,-119.724714,35.1218074,NA,NA,"AC04SE11",1,1,3,NA,NA,78,NA,"C","S","E",1,"C04","C04SE1","C04SE1","C04","SE",1,3,NA,NA,75,NA,"4/21/21 12:14",12,14,12.23333333,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C401","JTMR011BX",0,0,314,0,20,0,0,0,0,80,0,0,0,896,0,1410,0,71,0,0,0,0,0,41,379,0,0,0,0,0,1397,40,0,0,0,631,27,0,0,0,1957,0,0,325,0,9,640,0,670,0,0,0,0,0,0,4,0,0,0,0,0,0,1937,0,1287,0,0,0,18,20988,0,0,0,0,0,0,0,5133,0,6,0,0,0,197,0,0,212,13,0,0,0,0,18,256,653,0,9,0,0,0,0,98,0,26,0,0,49,0,0,0,0,0,0,9
53,53,"4/21/21 13:45",0,10,1,0,1,-119.701476,35.11423216,NA,NA,"AC10PE11",1,0,0,NA,NA,70,NA,"C","P","E",1,"C10","C10PE1","C10PE1","C10","PE",0,0,NA,NA,72,NA,"4/21/21 13:45",13,45,13.75,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C1001","JTMR010EE",0,0,825,0,0,0,0,0,0,0,0,0,25,585,0,347,0,1397,0,0,0,0,0,13,5,0,0,0,0,0,2305,1029,0,4,0,5,50,0,0,13,350,0,0,228,0,7,0,0,0,0,163,0,0,0,95,34,0,0,0,0,0,595,21,0,5410,25,0,0,0,39435,0,10,29,0,0,0,0,531,0,77,0,0,0,84,0,0,124,0,0,0,0,0,169,1860,238,0,0,17,0,0,0,604,0,73,0,0,22,0,0,0,19,0,0,43
54,54,"4/21/21 13:54",0,10,0,0,1,-119.7014153,35.11426241,NA,NA,"AC10SE11",1,1,2,NA,NA,73,NA,"C","S","E",1,"C10","C10SE1","C10SE1","C10","SE",0,0,NA,NA,85,NA,"4/21/21 13:54",13,54,13.9,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C1001","JTMR010EI",0,0,217,0,0,0,0,0,0,0,0,0,4,623,0,867,0,942,0,0,0,5,0,0,0,2,0,0,0,0,4330,376,0,0,0,19,7,0,0,12,307,0,0,310,0,5,16,0,0,0,0,0,0,0,123,5,0,0,0,0,10,16,110,0,2038,23,0,0,0,27281,0,0,19,0,0,0,0,576,0,93,0,0,0,0,0,0,43,0,0,0,0,0,90,5164,245,0,0,8,0,7,0,674,0,69,0,0,0,40,0,0,0,0,0,331
58,58,"4/21/21 16:54",1,1,1,0,1,-119.6693035,35.08245118,NA,NA,"AS01PE11",1,1,1,NA,NA,79,NA,"S","P","E",1,"S01","S01PE1","S01PE1","S01","PE",1,1,NA,NA,82,NA,"4/21/21 16:54",16,54,16.9,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S101","JTMR011CM",0,0,44,0,0,0,0,0,0,39,0,4,28,3886,0,526,0,685,0,0,0,0,0,0,1180,0,0,0,0,0,11838,1455,0,0,0,0,59,0,0,0,1278,35,0,440,0,0,188,0,0,10,251,0,0,0,0,142,0,0,0,0,0,144,89,0,1072,27,0,0,0,30954,0,259,0,0,0,0,0,4443,0,0,0,0,0,674,0,5,1372,0,9,0,0,0,297,0,2064,0,14,0,0,38,0,3200,0,39,0,0,10,0,0,0,6,3,16,90
59,59,"4/21/21 17:06",1,1,0,0,1,-119.6692839,35.08246879,NA,NA,"AS01SE11",1,1,2,NA,NA,86,NA,"S","S","E",1,"S01","S01SE1","S01SE1","S01","SE",1,3,NA,NA,84,NA,"4/21/21 17:06",17,6,17.1,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S101","JTMR010CA",0,0,668,0,0,0,0,0,0,157,0,0,33,4752,0,327,20,2057,1561,19,0,0,0,24,833,0,0,0,0,2,385,672,0,0,0,249,21,0,0,6,7303,10,0,1015,0,0,1200,0,0,0,0,0,0,0,50,55,0,0,0,0,0,0,252,0,972,0,0,0,0,23955,0,3,19,0,0,0,0,767,0,52,0,0,0,0,0,0,764,0,0,0,0,0,137,292,1165,0,34,38,0,12,0,3952,0,8,7,0,30,0,0,0,0,0,0,201
60,60,"4/22/21 8:26",1,5,1,1,1,-119.6803809,35.08381932,NA,NA,"AS05PN11",1,1,1,NA,NA,61,NA,"S","P","N",1,"S05","S05PN1","S05PN1","S05","PN",1,1,NA,NA,61,NA,"4/22/21 8:26",8,26,8.433333333,"Spring",NA,NA,NA,34.85,34.89,34.2,33.88,4,1,"S511","JTMR011AZ",0,0,187,0,0,0,0,0,0,0,0,0,5,11815,0,136,0,41,0,0,0,0,3,0,12,84,0,0,0,0,8910,152,0,0,0,2,30,0,0,0,2042,10,0,317,0,0,0,0,0,6,2140,0,0,0,0,180,0,0,0,0,0,4596,7,0,3297,7,0,0,0,7245,0,12,0,0,0,0,0,7192,0,139,5,0,0,5841,0,0,135,0,0,0,0,0,112,0,2036,0,0,0,0,0,7,234,0,200,0,0,27,0,0,0,73,0,0,469
61,61,"4/22/21 8:49",1,5,0,1,1,-119.6802974,35.08218187,NA,NA,"AS05SN11",1,0,0,NA,NA,59,NA,"S","S","N",1,"S05","S05SN1","S05SN1","S05","SN",0,0,NA,NA,61,NA,"4/22/21 8:49",8,49,8.816666667,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S511","JTMR011V",0,0,303,0,0,0,0,0,0,0,0,0,21,523,0,134,0,186,0,0,0,0,0,0,46,0,0,0,0,0,2486,869,0,0,0,106,0,0,0,0,4715,0,0,629,0,0,244,0,0,0,33,0,0,0,0,14,0,0,0,0,0,486,131,0,1230,0,0,0,0,36925,0,0,0,0,0,0,0,6495,0,19,0,8,0,119,0,0,277,0,0,0,0,0,26,0,1681,0,67,0,0,171,0,4081,0,28,0,0,236,0,0,0,0,0,0,178
62,62,"4/22/21 9:05",1,5,0,0,1,-119.6807346,35.08221517,NA,NA,"AS05SE11",1,1,1,NA,NA,64,NA,"S","S","E",1,"S05","S05SE1","S05SE1","S05","SE",1,2,NA,NA,65,NA,"4/22/21 9:05",9,5,9.083333333,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S501","JTMR011AL",0,0,121,0,0,0,0,0,0,12,0,0,0,1641,0,388,0,182,0,0,0,0,0,66,859,0,0,0,0,0,3273,55,0,0,0,234,130,0,0,0,157,0,0,21975,0,0,1633,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,265,0,935,0,0,0,0,20987,0,0,0,0,0,0,0,2128,0,9,0,0,0,22,0,0,100,0,0,0,0,0,19,36,1108,0,36,18,0,0,0,1933,10,0,0,0,33,0,0,0,3,0,0,157
64,64,"4/22/21 9:56",1,2,1,0,1,-119.6743708,35.08460265,NA,NA,"AS02PE11",1,1,1,NA,NA,63,NA,"S","P","E",1,"S02","S02PE1","S02PE1","S02","PE",0,0,NA,NA,64,NA,"4/22/21 9:56",9,56,9.933333333,"Spring",NA,NA,NA,34.66,35.11,35.56,34.8,4,1,"S201","JTMR010P",0,0,2337,0,0,0,0,0,0,9,0,0,0,3734,0,321,132,295,237,0,0,14,0,0,5,58,0,0,0,0,7819,395,0,40,0,0,247,0,0,0,333,0,0,801,0,0,0,4,0,0,2231,0,0,0,430,494,0,0,0,0,11,2447,47,0,6841,9,0,0,0,26478,0,630,29,0,0,2,0,7025,0,508,6,0,0,1489,0,0,176,0,0,0,0,0,946,12,1215,0,0,145,0,0,165,988,0,73,0,0,36,0,0,0,15,0,0,451
65,65,"4/22/21 10:14",1,2,0,0,1,-119.6748002,35.08415087,NA,NA,"AS02SE11",1,0,0,NA,NA,66,NA,"S","S","E",1,"S02","S02SE1","S02SE1","S02","SE",1,1,NA,NA,70,NA,"4/22/21 10:14",10,14,10.23333333,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S201","JTMR010CW",0,0,2404,0,0,0,0,0,0,12,0,0,43,24,0,2016,6,88,0,0,0,0,0,55,13,0,0,0,0,0,17491,484,0,213,0,1524,3,0,0,35,11,0,0,1103,0,28,59,0,0,9,6,0,0,0,1813,0,0,0,0,0,15,134,86,0,2887,0,0,0,0,22906,0,0,51,0,0,0,0,1806,0,37,0,0,0,0,0,0,78,0,0,0,0,0,1295,24,1105,0,0,98,0,0,0,1940,0,0,0,0,365,0,0,0,0,0,0,589
