"X.1","X","date_time_samp","site","plot_num","treatment","exclosure","paired","longitude","latitude","man_long","man_lat","barcode","sample_num","veg_type","veg_level","vwc","period","soil_temp","pH","siteX","treatmentX","exclosureX","pairedX","plot","cluster","clusterBC","plotBC","factorial","veg_type_med","veg_level_med","vwc_med","period_med","soil_temp_med","pH_med","Date","hour","minute","time","season","notes_cluster","number","year","CT1","CT2","CT3","CT4","Ct_detects","positive","cluster_pair","Library_Name","Acarosporales","Acrospermales","Agaricales","Agaricostilbales","Archaeosporales","Atheliales","Auriculariales","Basidiobolales","Boliniales","Botryosphaeriales","Caliciales","Candelariales","Cantharellales","Capnodiales","Chaetosphaeriales","Chaetothyriales","Chytridiales","Coniochaetales","Corticiales","Cystobasidiales","Cystobasidiomycetes_ord_Incertae_sedis","Cystofilobasidiales","Diaporthales","Diversisporales","Dothideales","Dothideomycetes_ord_Incertae_sedis","Entorrhizales","Entylomatales","Erysiphales","Erythrobasidiales","Eurotiales","Filobasidiales","Geastrales","Geminibasidiales","Gigasporales","Glomerales","Glomerellales","GS05","GS11","Harpochytriales","Helotiales","Holtermanniales","Hymenochaetales","Hypocreales","Lecanorales","Leucosporidiales","Lichenostigmatales","Lobulomycetales","Magnaporthales","Melanosporales","Microascales","Microbotryomycetes_ord_Incertae_sedis","Microstromatales","Microthyriales","Mortierellales","Mucorales","Mycocaliciales","Myriangiales","Myrmecridiales","Mytilinidiales","Olpidiales","Onygenales","Orbiliales","Ostropales","Pezizales","Pezizomycotina_ord_Incertae_sedis","Phaeomoniellales","Phomatosporales","Platygloeales","Pleosporales","Polyporales","Rhizophlyctidales","Rhizophydiales","Rhytismatales","Russulales","Saccharomycetales","Sebacinales","Sordariales","Sordariomycetes_ord_Incertae_sedis","Spizellomycetales","Sporidiobolales","Taphrinales","Teloschistales","Thelebolales","Thelephorales","Trechisporales","Tremellales","Tremellodendropsidales","Trichosphaeriales","Trichosporonales","Tubeufiales","Umbelopsidales","unidentified","unspecified_Agaricomycetes","unspecified_Ascomycota","unspecified_Basidiobolomycota","unspecified_Basidiomycota","unspecified_Chytridiomycota","unspecified_Cystobasidiomycetes","unspecified_Dothideomycetes","unspecified_Eurotiomycetes","unspecified_Fungi","unspecified_Glomeromycota","unspecified_Leotiomycetes","unspecified_Microbotryomycetes","unspecified_Orbiliomycetes","unspecified_Sordariomycetes","unspecified_Tremellomycetes","Urocystidales","Ustilaginales","Venturiales","Verrucariales","Wallemiales","Xylariales"
14,14,"4/19/21 13:07",1,9,0,0,1,-119.6860301,35.06126718,NA,NA,"AS09SE11",1,1,2,5.7,1.177,80,NA,"S","S","E",1,"S09","S09SE1","S09SE1","S09","SE",1,2,6.3,1.19,80,NA,"4/19/21 13:07",13,7,13.11666667,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S901","JTMR010AI",0,0,1048,0,0,0,0,0,0,7,0,0,311,389,0,2224,36,8362,0,0,0,0,0,8,120,0,0,0,0,0,9342,768,0,0,0,388,13,0,0,10,2535,0,0,1113,0,0,983,0,0,0,6,0,0,0,2193,28,0,0,0,0,17,88,352,0,4833,0,0,0,0,21356,0,63,6,0,0,0,0,3116,0,100,0,0,0,74,0,0,216,0,0,0,0,0,25,129,1073,0,21,0,5,0,0,1504,0,23,0,0,230,56,0,0,0,0,0,306
16,16,"4/19/21 10:20",1,8,1,1,1,-119.6803251,35.05925036,NA,NA,"AS08PN11",1,2,1,3.5,1.129,80,9,"S","P","N",1,"S08","S08PN1","S08PN1","S08","PN",2,1,4.4,1.149,77,9,"4/19/21 10:20",10,20,10.33333333,"Spring",NA,NA,NA,NA,36.74,37.26,38.38,3,1,"S811","JTMR010DK",0,0,1958,0,0,0,315,0,0,4,0,0,22,3249,0,565,0,32,0,9,0,0,0,0,17,57,22,0,0,0,5664,642,0,185,0,22,93,0,0,0,2827,0,0,2610,0,0,4,8,0,0,5757,0,0,0,905,333,0,0,0,0,0,1385,44,0,3458,0,0,0,0,24389,0,51,11,0,0,0,0,6554,0,186,0,0,0,5286,0,0,169,0,0,0,0,0,1360,6,455,0,0,32,0,0,0,1504,0,74,0,0,4,0,0,0,41,0,0,32
17,17,"4/19/21 10:42",1,8,0,1,1,-119.6803061,35.0592554,NA,NA,"AS08SN11",1,1,1,5.1,1.164,77,8,"S","S","N",1,"S08","S08SN1","S08SN1","S08","SN",1,1,5.3,1.169,73,8,"4/19/21 10:42",10,42,10.7,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S811","JTMR010AU",0,0,191,0,0,0,0,0,0,0,0,0,324,336,0,899,56,1529,0,0,0,11,0,35,4,0,0,19,0,0,3027,1015,0,80,0,699,6,0,0,0,4726,0,0,1419,0,32,116,0,0,0,49,0,0,0,656,5,0,0,0,0,52,221,483,0,4639,0,0,0,0,30890,0,2270,22,0,0,0,0,1702,0,768,0,0,0,359,0,0,267,0,0,0,0,0,742,63,869,0,6,72,0,0,0,3563,0,9,0,0,87,0,0,0,0,0,0,752
18,18,"4/19/21 14:38",1,10,1,0,1,-119.6926353,35.0647591,NA,NA,"AS10PE11",1,0,0,3.4,1.127,84,NA,"S","P","E",1,"S10","S10PE1","S10PE1","S10","PE",1,1,2.9,1.117,79,NA,"4/19/21 14:38",14,38,14.63333333,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S1001","JTMR011ES",0,0,7910,0,0,0,0,0,0,0,0,0,0,54,0,819,0,9584,0,0,0,0,9,0,4,24,0,0,0,0,14144,357,0,0,0,106,20,0,0,0,1089,0,0,2296,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,529,87,0,5443,0,0,0,0,21250,0,0,0,0,0,0,0,1435,0,27,0,0,0,666,0,0,75,0,0,0,0,0,89,0,1456,0,0,21,0,6,0,105,0,12,0,0,138,0,0,0,0,0,0,573
19,19,"4/19/21 15:52",1,7,1,1,1,-119.6555894,35.08361336,NA,NA,"AS07PN11",1,0,0,1.6,1.086,80,7,"S","P","N",1,"S07","S07PN1","S07PN1","S07","PN",0,0,2.8,1.111,80,7,"4/19/21 15:52",15,52,15.86666667,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S711","JTMR010J",0,0,10515,0,0,0,980,0,0,5,0,0,254,5664,0,1075,0,626,51,7,0,16,0,0,368,4,0,0,0,0,371,3637,10,0,0,9,18,13,0,0,4086,17,0,493,0,0,155,0,0,2,48,0,0,0,617,52,0,0,0,0,0,160,48,0,3237,0,0,0,0,36821,0,556,51,0,0,4,0,4222,0,244,0,6,0,73,0,0,1158,0,3,0,0,0,1047,422,763,0,10,69,0,5,0,2781,0,5,0,0,17,47,0,0,38,0,0,627
20,20,"4/19/21 16:10",1,7,0,1,1,-119.6556631,35.08355597,NA,NA,"AS07SE11",1,0,0,7.8,1.212,82,7,"S","S","N",1,"S07","S07SN1","S07SE1","S07","SN",0,0,7.8,1.212,82,7,"4/19/21 16:10",16,10,16.16666667,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"S711","JTMR011D",0,0,1914,0,0,0,0,0,0,72,0,0,28,904,0,1884,0,278,0,18,0,0,31,167,135,0,0,0,0,0,1548,2052,0,0,0,120,0,0,0,0,2197,0,0,786,0,0,729,0,0,0,0,0,0,0,0,8,0,0,0,0,0,41,375,0,1597,0,0,0,0,37501,0,68,0,0,0,0,0,1830,0,134,0,16,0,64,0,0,544,0,0,0,0,0,221,0,1214,0,22,0,0,0,0,2673,0,17,0,0,53,0,0,0,12,15,0,137
21,21,"4/20/21 8:54",0,1,1,1,1,-119.7464592,35.13335429,NA,NA,"AC01PN11",1,1,1,6.8,1.198,66,NA,"C","P","N",1,"C01","C01PN1","C01PN1","C01","PN",1,1,6.1,1.182,67,NA,"4/20/21 8:54",8,54,8.9,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C111","JTMR010DD",0,0,380,0,0,0,0,0,0,0,0,0,68,4017,0,342,0,110,39,0,0,35,0,0,46,13,0,0,0,0,10379,289,0,0,0,0,20,0,0,0,231,28,0,938,0,33,6,0,0,0,485,0,0,0,6757,124,0,0,0,0,0,1218,29,0,5607,24,0,0,0,15614,0,178,5,0,0,0,0,14010,0,98,0,0,0,2470,0,0,244,0,0,0,0,0,1336,226,1524,4,0,256,0,0,0,895,0,166,0,0,24,21,0,0,0,0,27,153
22,22,"4/20/21 9:19",0,1,0,1,1,-119.7465261,35.13336847,NA,NA,"AC01SN11",1,1,1,9.9,1.253,71,NA,"C","S","N",1,"C01","C01SN1","C01SN1","C01","SN",1,1,8.7,1.229,71,NA,"4/20/21 9:19",9,19,9.316666667,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C111","JTMR011AE",0,0,430,0,0,0,0,0,0,47,0,0,343,488,0,1038,0,149,0,0,0,0,8,67,98,0,0,0,0,0,1288,130,0,0,0,287,0,0,0,0,8215,33,0,877,0,75,523,0,0,0,9,0,0,0,0,8,0,0,0,0,0,98,597,0,2361,0,0,0,0,47403,0,0,7,0,0,0,0,963,0,0,0,0,0,328,0,0,150,0,0,0,0,0,153,0,717,0,5,0,0,0,0,330,0,24,0,16,0,0,0,0,0,0,0,64
23,23,"4/20/21 9:36",0,1,1,0,1,-119.7465626,35.13333827,NA,NA,"AC01PE11",1,1,1,19.2,1.405,77,NA,"C","P","E",1,"C01","C01PE1","C01PE1","C01","PE",1,1,8.6,1.233,66,NA,"4/20/21 9:36",9,36,9.6,"Spring",NA,NA,NA,NA,NA,NA,NA,0,0,"C101","JTMR010CF",0,0,86,0,0,0,0,0,0,417,0,0,0,3666,0,1888,0,4501,0,5,0,0,10,11,509,0,0,0,0,731,128,1187,0,0,0,0,0,0,0,0,386,5,0,244,0,3,2567,0,0,0,30,6,0,0,100,6,0,0,0,0,0,57,14,0,129,0,0,0,0,48072,0,31,0,0,0,0,0,475,236,33,0,0,0,0,0,0,1649,0,0,0,0,0,83,0,112,0,1792,8,0,12,0,769,0,22,0,0,0,124,0,0,0,0,4,141
24,24,"4/20/21 11:58",0,5,1,1,1,-119.7390416,35.12009123,NA,NA,"AC05PN11",1,1,1,1.8,1.091,71,NA,"C","P","N",1,"C05","C05PN1","C05PN1","C05","PN",1,1,2.7,1.112,73,NA,"4/20/21 11:58",11,58,11.96666667,"Spring",NA,NA,NA,32.34,32.51,32.39,32.41,4,1,"C511","JTMR010R",0,0,227,0,0,0,0,0,0,0,0,0,0,1949,0,830,289,477,29,5,4,37,0,6,62,32,0,185,0,0,4618,375,2,3,0,82,62,0,0,0,719,9,0,445,0,31,0,19,0,0,5317,0,0,0,198,114,0,0,0,0,0,1802,252,0,4519,0,0,0,0,27612,0,216,26,0,5,0,0,5156,0,2046,0,0,0,1840,0,0,333,0,5,0,0,0,1963,14,405,5,0,144,0,673,0,1207,0,356,0,0,23,0,0,0,28,0,0,1063
