Library_Name,sampleid
JTMR011BV,AS05SE15
JTMR011V,AS05SN11
JTMR011EK,AS05SN12
JTMR011DW,AS05SN13
JTMR010AQ,AS05SN14
JTMR010AY,AS05SN15
JTMR010BX,AS06PE11
JTMR011CY,AS06PE12
JTMR011BB,AS06PE13
JTMR011DI,AS06PE14
JTMR011AK,AS06PE15
JTMR010AK,AS06PN11
JTMR011EE,AS06PN12
JTMR010DG,AS06PN13
JTMR011CH,AS06PN14
JTMR011BE,AS06PN15
JTMR010DE,AS06SE11
JTMR011BL,AS06SE12
JTMR010DI,AS06SE13
JTMR011CT,AS06SE14
JTMR010CR,AS06SE15
JTMR010AH,AS06SN11
JTMR010BU,AS06SN12
JTMR011BZ,AS06SN13
JTMR011AJ,AS06SN14
JTMR011FB,AS06SN15
JTMR011DP,AS07PE11
JTMR011EV,AS07PE12
JTMR011FE,AS07PE13
JTMR011BG,AS07PE14
JTMR011CB,AS07PE15
JTMR010J,AS07PN11
JTMR011U,AS07PN12
JTMR010EX,AS07PN13
JTMR010AV,AS07PN14
JTMR011EU,AS07PN15
JTMR011D,AS07SE11
JTMR010F,AS07SE12
JTMR011AI,AS07SE13
JTMR010EG,AS07SE14
JTMR011EH,AS07SE15
JTMR011CQ,AS07SN11
JTMR010CN,AS07SN12
JTMR010CI,AS07SN13
JTMR011DT,AS07SN14
JTMR011FC,AS07SN15
JTMR010DY,AS08PE11
JTMR011C,AS08PE12
JTMR011DR,AS08PE13
JTMR011BA,AS08PE14
JTMR010B,AS08PE15
JTMR010DK,AS08PN11
JTMR010FA,AS08PN12
JTMR011B,AS08PN13
JTMR010AE,AS08PN14
JTMR010AR,AS08PN15
JTMR011AC,AS08SE11
JTMR011CF,AS08SE12
JTMR011CV,AS08SE13
JTMR011K,AS08SE14
JTMR011F,AS08SE15
JTMR010AU,AS08SN11
JTMR010BT,AS08SN12
JTMR011A,AS08SN13
JTMR011AF,AS08SN14
JTMR010EB,AS08SN15
JTMR011AO,AS09PE11
JTMR010EC,AS09PE12
JTMR010S,AS09PE13
JTMR010CY,AS09PE14
JTMR010CE,AS09PE15
JTMR011Z,AS09PN11
JTMR010CB,AS09PN12
JTMR011CR,AS09PN13
JTMR011EY,AS09PN14
JTMR011DE,AS09PN15
JTMR010AI,AS09SE11
JTMR010DC,AS09SE12
JTMR011CD,AS09SE13
JTMR010EV,AS09SE14
JTMR011EF,AS09SE15
JTMR011AD,AS09SN11
JTMR010FD,AS09SN12
JTMR010CH,AS09SN13
JTMR011CI,AS09SN14
JTMR010EW,AS09SN15
JTMR011ES,AS10PE11
JTMR011N,AS10PE12
JTMR010DW,AS10PE13
JTMR011EG,AS10PE14
JTMR010EP,AS10PE15
JTMR011AT,AS10PN11
JTMR011BW,AS10PN12
JTMR010DR,AS10PN13
JTMR010CX,AS10PN14
JTMR010CU,AS10SE11
JTMR010EA,AS10SE12
JTMR011BR,AS10SE13
JTMR010ED,AS10SE14
JTMR010DF,AS10SE15
JTMR010AM,AS10SN11
JTMR010EL,AS10SN12
JTMR011AG,AS10SN13
JTMR010AA,AS10SN14
JTMR010DL,AS10SN15
JTMR010CO,NEGCTRL
JTMR010CP,NEGCTRL
JTMR011CO,NEGCTRL
JTMR011CP,NEGCTRL
JTMR010DN,POSCTRL
JTMR010X,POSCTRL
JTMR011DN,POSCTRL
JTMR011X,POSCTRL
