Library_Name,sampleid
JTMR008BV,AS05SE15
JTMR008V,AS05SN11
JTMR008EK,AS05SN12
JTMR008DW,AS05SN13
JTMR009AQ,AS05SN14
JTMR009AY,AS05SN15
JTMR009BX,AS06PE11
JTMR008CY,AS06PE12
JTMR008BB,AS06PE13
JTMR008DI,AS06PE14
JTMR008AK,AS06PE15
JTMR009AK,AS06PN11
JTMR008EE,AS06PN12
JTMR009DG,AS06PN13
JTMR008CH,AS06PN14
JTMR008BE,AS06PN15
JTMR009DE,AS06SE11
JTMR008BL,AS06SE12
JTMR009DI,AS06SE13
JTMR008CT,AS06SE14
JTMR009CR,AS06SE15
JTMR009AH,AS06SN11
JTMR009BU,AS06SN12
JTMR008BZ,AS06SN13
JTMR008AJ,AS06SN14
JTMR008FB,AS06SN15
JTMR008DP,AS07PE11
JTMR008EV,AS07PE12
JTMR008FE,AS07PE13
JTMR008BG,AS07PE14
JTMR008CB,AS07PE15
JTMR009J,AS07PN11
JTMR008U,AS07PN12
JTMR009EX,AS07PN13
JTMR009AV,AS07PN14
JTMR008EU,AS07PN15
JTMR008D,AS07SE11
JTMR009F,AS07SE12
JTMR008AI,AS07SE13
JTMR009EG,AS07SE14
JTMR008EH,AS07SE15
JTMR008CQ,AS07SN11
JTMR009CN,AS07SN12
JTMR009CI,AS07SN13
JTMR008DT,AS07SN14
JTMR008FC,AS07SN15
JTMR009DY,AS08PE11
JTMR008C,AS08PE12
JTMR008DR,AS08PE13
JTMR008BA,AS08PE14
JTMR009B,AS08PE15
JTMR009DK,AS08PN11
JTMR009FA,AS08PN12
JTMR008B,AS08PN13
JTMR009AE,AS08PN14
JTMR009AR,AS08PN15
JTMR008AC,AS08SE11
JTMR008CF,AS08SE12
JTMR008CV,AS08SE13
JTMR008K,AS08SE14
JTMR008F,AS08SE15
JTMR009AU,AS08SN11
JTMR009BT,AS08SN12
JTMR008A,AS08SN13
JTMR008AF,AS08SN14
JTMR009EB,AS08SN15
JTMR008AO,AS09PE11
JTMR009EC,AS09PE12
JTMR009S,AS09PE13
JTMR009CY,AS09PE14
JTMR009CE,AS09PE15
JTMR008Z,AS09PN11
JTMR009CB,AS09PN12
JTMR008CR,AS09PN13
JTMR008EY,AS09PN14
JTMR008DE,AS09PN15
JTMR009AI,AS09SE11
JTMR009DC,AS09SE12
JTMR008CD,AS09SE13
JTMR009EV,AS09SE14
JTMR008EF,AS09SE15
JTMR008AD,AS09SN11
JTMR009FD,AS09SN12
JTMR009CH,AS09SN13
JTMR008CI,AS09SN14
JTMR009EW,AS09SN15
JTMR008ES,AS10PE11
JTMR008N,AS10PE12
JTMR009DW,AS10PE13
JTMR008EG,AS10PE14
JTMR009EP,AS10PE15
JTMR008AT,AS10PN11
JTMR008BW,AS10PN12
JTMR009DR,AS10PN13
JTMR009CX,AS10PN14
JTMR009CU,AS10SE11
JTMR009EA,AS10SE12
JTMR008BR,AS10SE13
JTMR009ED,AS10SE14
JTMR009DF,AS10SE15
JTMR009AM,AS10SN11
JTMR009EL,AS10SN12
JTMR008AG,AS10SN13
JTMR009AA,AS10SN14
JTMR009DL,AS10SN15
JTMR008CO,NEGCTRL
JTMR008CP,NEGCTRL
JTMR009CO,NEGCTRL
JTMR009CP,NEGCTRL
JTMR008DN,POSCTRL
JTMR008X,POSCTRL
JTMR009DN,POSCTRL
JTMR009X,POSCTRL
